month,formation_month,gross_return,portfolio_excess_return,benchmark_excess_return,traded_notional,formation_universe,finite_signal_count,n_holdings,n_bought,n_sold,gross_exposure,missing_forward_return_gross_weight,missing_total_return_gross_weight,path_status,net_return
2009-01-31,2008-12-31,0.009417290526842856,-0.06987727618564345,-0.0792945667124863,0.14403248588294454,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.009273258040959912
2009-02-28,2009-01-31,0.03214083333580375,-0.06704502360651884,-0.0991858569423226,0.21216530081816032,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.03192866803498559
2009-03-31,2009-02-28,0.005402714273242057,0.09359572036189616,0.0881930060886541,0.17216756728834687,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.00523054670595371
2009-04-30,2009-03-31,0.12743188390408722,0.21861523467472974,0.0911833507706425,0.2137333443120971,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.12721815055977512
2009-05-31,2009-04-30,0.034050000596201585,0.08583625362943419,0.0517862530332326,0.19881624607188014,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.0338511843501297
2009-06-30,2009-05-31,-0.01765384695308179,-0.01520507320252849,0.0024487737505533,0.1643858296571684,1000,1000,50,5,5,1.0,0.0,0.0,ok,-0.01781823278273896
2009-07-31,2009-06-30,0.022824143860222815,0.09802803685941282,0.07520389299919,0.22375415325333298,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.02260038970696948
2009-08-31,2009-07-31,-0.007769713022442195,0.025035932850667807,0.03280564587311,0.1355183934338079,1000,1000,50,5,5,1.0,0.0,0.0,ok,-0.007905231415876002
2009-09-30,2009-08-31,0.03198865925919498,0.07066338538846538,0.0386747261292704,0.15653995215609834,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.03183211930703888
2009-10-31,2009-09-30,-0.01831659095096767,-0.03997447330140457,-0.0216578823504369,0.19334906597347268,1000,1000,50,5,5,1.0,0.0,0.0,ok,-0.018509940016941142
2009-11-30,2009-10-31,-0.01404988789193378,0.04371537814700312,0.0577652660389369,0.3605561048831488,1000,1000,50,5,5,1.0,0.0,0.0,ok,-0.01441044399681693
2009-12-31,2009-11-30,0.03156896513004358,0.054627833245868375,0.0230588681158248,0.19215170770965734,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.03137681342233392
2010-01-31,2009-12-31,-0.02120870061214558,-0.05522187968169088,-0.0340131790695453,0.1744124799630517,1000,1000,50,5,5,1.0,0.0,0.0,ok,-0.021383113092108632
2010-02-28,2010-01-31,0.021413374764729806,0.05429446874340941,0.0328810939786796,0.19790246750706958,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.021215472297222735
2010-03-31,2010-02-28,0.008783917922964748,0.06972355626639075,0.060939638343426,0.19311648216136518,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.008590801440803384
2010-04-30,2010-03-31,0.020868609039301527,0.037335102916233126,0.0164664938769316,0.18130583472726686,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.02068730320457426
2010-05-31,2010-04-30,-0.000922064474538728,-0.07997727518214763,-0.0790552107076089,0.20764503965998812,1000,1000,50,5,5,1.0,0.0,0.0,ok,-0.0011297095141987162
2010-06-30,2010-05-31,0.0036960105668469093,-0.04984071134805689,-0.0535367219149038,0.16217152422172204,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.0035338390426251872
2010-07-31,2010-06-30,-0.002026866848020198,0.0670696297956262,0.0690964966436464,0.19941518197553865,1000,1000,50,5,5,1.0,0.0,0.0,ok,-0.0022262820299957364
2010-08-31,2010-07-31,0.0152523665536278,-0.030023682679385003,-0.0452760492330128,0.18174678172801778,1000,1000,50,5,5,1.0,0.02167372088936578,0.02167372088936578,ok,0.015070619771899782
2010-09-30,2010-08-31,0.011284899145791394,0.1039715739439652,0.0926866747981738,0.19761860758107958,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.011087280538210315
2010-10-31,2010-09-30,0.004479705405639203,0.0432317441533877,0.0387520387477485,0.18987597503750034,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.004289829430601703
2010-11-30,2010-10-31,0.02129064724505369,0.024801350169020988,0.0035107029239673,0.19120840425808044,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.02109943884079561
2010-12-31,2010-11-30,-0.004243851686851388,0.06209213345757751,0.0663359851444289,0.17995144548252565,1000,1000,50,5,5,1.0,0.020448715570608077,0.020448715570608077,ok,-0.004423803132333913
2011-01-31,2010-12-31,-0.00485769316465888,0.01671343985070422,0.0215711330153631,0.15884530911175437,1000,1000,50,5,5,1.0,0.0,0.0,ok,-0.005016538473770635
2011-02-28,2011-01-31,0.0045325254213502,0.038216446476533904,0.0336839210551837,0.16675298252995902,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.004365772438820241
2011-03-31,2011-02-28,0.019243405140051358,0.02206425542697306,0.0028208502869217,0.21729387133841926,1000,1000,50,5,5,1.0,0.02532425995072259,0.02532425995072259,ok,0.01902611126871294
2011-04-30,2011-03-31,0.00793658751732329,0.03757160844563339,0.0296350209283101,0.23271814566329374,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.0077038693716599965
2011-05-31,2011-04-30,-0.0035080219879983863,-0.015594068960729986,-0.0120860469727316,0.17423410584222115,1000,1000,50,5,5,1.0,0.0,0.0,ok,-0.0036822560938406072
2011-06-30,2011-05-31,0.014461543472640444,-0.002416234298068456,-0.0168777777707089,0.1768969743453118,1000,1000,50,5,5,1.0,0.01768969743453118,0.01768969743453118,ok,0.014284646498295132
2011-07-31,2011-06-30,-0.02087269848891198,-0.04306941410332018,-0.0221967156144082,0.17659965395933364,1000,1000,50,5,5,1.0,0.017887046238594544,0.017887046238594544,ok,-0.021049298142871313
2011-08-31,2011-07-31,-0.010065090184839864,-0.06677603013924246,-0.0567109399544026,0.17081815773296383,1000,1000,50,5,5,1.0,0.0,0.0,ok,-0.010235908342572828
2011-09-30,2011-08-31,-0.03756858663031612,-0.11035054638965112,-0.072781959759335,0.19975081114928125,1000,1000,50,5,5,1.0,0.0,0.0,ok,-0.0377683374414654
2011-10-31,2011-09-30,0.031494463461094566,0.14146323543921946,0.1099687719781249,0.20594639585629587,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.03128851706523827
2011-11-30,2011-10-31,-0.0016955062020677894,-0.00404945537855269,-0.0023539491764849,0.1533505038035568,1000,1000,50,5,5,1.0,0.0,0.0,ok,-0.0018488567058713462
2011-12-31,2011-11-30,-0.01689381246255773,-0.009428199423232928,0.0074656130393248,0.22541197049720535,1000,1000,50,5,5,1.0,0.0,0.0,ok,-0.017119224433054935
2012-01-31,2011-12-31,0.050710111897178944,0.09860592070470064,0.0478958088075217,0.18854311391944606,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.0505215687832595
2012-02-29,2012-01-31,0.017983454552329352,0.06320083552453505,0.0452173809722057,0.1809482489824002,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.01780250630334695
2012-03-31,2012-02-29,-0.01250458887255185,0.01837189547119465,0.0308764843437465,0.21100046569932845,1000,1000,50,5,5,1.0,0.0,0.0,ok,-0.01271558933825118
2012-04-30,2012-03-31,0.018916527323113212,0.011153370609366713,-0.0077631567137465,0.16415703396999973,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.018752370289143214
2012-05-31,2012-04-30,-0.025877233769739494,-0.087023437789997,-0.0611462040202575,0.15122851547721203,1000,1000,50,5,5,1.0,0.0,0.0,ok,-0.026028462285216707
2012-06-30,2012-05-31,-0.020382173778502353,0.01739042903064095,0.0377726028091433,0.28793814214415786,1000,1000,50,5,5,1.0,0.0,0.0,ok,-0.020670111920646512
2012-07-31,2012-06-30,-0.012427749265601432,-0.0025568636034826314,0.0098708856621188,0.18128449786215514,1000,1000,50,5,5,1.0,0.0,0.0,ok,-0.012609033763463586
2012-08-31,2012-07-31,0.012689226109685831,0.03765133185572933,0.0249621057460435,0.2420415482943765,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.012447184561391454
2012-09-30,2012-08-31,-0.0015709690362794501,0.02495688926433605,0.0265278583006155,0.17765916020599515,1000,1000,50,5,5,1.0,0.0,0.0,ok,-0.0017486281964854452
2012-10-31,2012-09-30,0.018443994156475064,0.001356270271054063,-0.017087723885421,0.16194641095753767,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.018282047745517525
2012-11-30,2012-10-31,0.027504001290909286,0.035246543879289285,0.00774254258838,0.1644063657607694,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.02733959492514852
2012-12-31,2012-11-30,0.005004534732622606,0.014970966800964207,0.0099664320683416,0.1595436906793466,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.0048449910419432595
2013-01-31,2012-12-31,0.020061654453387076,0.07510246855052448,0.0550408140971374,0.18754609081609105,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.019874108362570985
2013-02-28,2013-01-31,-0.011585827554693597,0.001006092967818703,0.0125919205225123,0.2034528026551512,1000,1000,50,5,5,1.0,0.033394634575937235,0.033394634575937235,ok,-0.011789280357348747
2013-03-31,2013-02-28,-0.003527321246861115,0.036128810235537885,0.039656131482399,0.21942344622883186,1000,1000,50,5,5,1.0,0.01559835000154284,0.01559835000154284,ok,-0.0037467446930899467
2013-04-30,2013-03-31,-0.025127088275663602,-0.007982881604822101,0.0171442066708415,0.1528035896798353,1000,1000,50,5,5,1.0,0.0,0.0,ok,-0.025279891865343438
2013-05-31,2013-04-30,0.0318571686584455,0.057594564469288095,0.0257373958108426,0.19788596489341775,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.03165928269355208
2013-06-30,2013-05-31,-0.012147138300829346,-0.025322153215652145,-0.0131750149148228,0.20130938767124,1000,1000,50,5,5,1.0,0.0,0.0,ok,-0.012348447688500587
