step,seed_alpha,best_offspring,best_reward,mean_group_reward,group_reward_std,elite_pool_size,sampling_entropy,nonzero_feature_logits,nonzero_operator_logits
82,pair_mean__ret_12_1__z_score,pair_product__be_me__z_score,0.6206478248603784,0.5926186157164417,0.018335908368985365,20,3.5291301232667993,12,4
83,pair_difference__z_score__rvol_21d,pair_product__ret_12_1__rvol_21d,0.8050580143014329,0.667239998594578,0.0880249273462168,20,3.5437774293470943,12,4
84,pair_difference__rvol_21d__beta_60m,pair_product__beta_60m__niq_su,0.6148261555509175,0.5547651156783875,0.05468318467719544,20,3.5213991127018787,12,4
85,pair_product__ret_6_1__beta_60m,pair_difference__rvol_21d__beta_60m,0.7433333333333333,0.548582641911378,0.12583487685278552,20,3.4174346805941376,12,4
86,pair_difference__ret_12_1__turnover_126d,pair_product__turnover_126d__niq_su,0.7205748744871452,0.5781451672696777,0.11711538777127867,20,3.529716901259439,12,4
87,pair_difference__ret_12_1__turnover_126d,pair_product__gp_at__turnover_126d,0.7641984563061687,0.6352801097294523,0.1002115841952842,20,3.478806212898805,12,4
88,pair_difference__ret_12_1__turnover_126d,pair_product__ret_12_1__be_me,0.76614697434642,0.6427990081563333,0.09491877505795918,20,3.4778891796647837,12,4
89,pair_product__ret_1_0__turnover_126d,pair_mean__ocf_at__turnover_126d,0.6292447316698012,0.5509430041219857,0.10332435715412584,20,3.463930653502774,12,4
90,pair_product__ret_6_1__be_me,pair_product__be_me__gp_at,0.652037605101118,0.49018245548874484,0.09577083954177952,20,3.4937426914521694,12,4
91,pair_product__ret_6_1__turnover_126d,pair_difference__ret_6_1__ret_12_1,0.8258320292151532,0.6517008895797504,0.10603907093862279,20,3.4906502194386633,12,4
92,pair_mean__ret_12_1__z_score,pair_product__ret_1_0__ret_12_1,0.711077123992561,0.596022438516714,0.0860255612075303,20,3.5576729880289246,12,4
93,pair_product__ret_1_0__turnover_126d,pair_product__ret_6_1__turnover_126d,0.6499999999999999,0.5505776561470082,0.07604943356158968,20,3.568123172991196,12,4
94,pair_difference__ret_1_0__niq_su,pair_product__ret_1_0__ret_6_1,0.7971676188572021,0.5970624356239781,0.12811189797996558,20,3.571571319795503,12,4
95,pair_product__ret_1_0__ret_6_1,pair_product__ret_6_1__turnover_126d,0.5833333333333333,0.5381479050505991,0.04601859299401051,20,3.592027777910215,12,4
96,pair_mean__ret_12_1__z_score,pair_product__ret_12_1__z_score,0.6674168241794107,0.6079802930712546,0.04862796205512134,20,3.566386867760159,12,4
97,pair_product__gp_at__turnover_126d,pair_mean__ocf_at__turnover_126d,0.7042447316698012,0.5755046399497346,0.0793024518865769,20,3.581059532427706,12,4
98,pair_mean__ret_12_1__z_score,pair_product__ret_12_1__rvol_21d,0.7383333333333333,0.6331136617086051,0.1436006720315999,20,3.6416572843011243,12,4
99,pair_product__gp_at__turnover_126d,pair_product__ocf_at__turnover_126d,0.592654753434411,0.5441399605104883,0.07018862710328849,20,3.576386943995675,12,4
100,pair_product__ret_12_1__be_me,pair_product__ret_12_1__turnover_126d,0.6292502972885773,0.5872970705349184,0.03561670084196709,20,3.620917430046427,12,4
101,pair_difference__ret_6_1__ret_12_1,pair_product__ret_12_1__be_me,0.705,0.598503192462532,0.1153297872879949,20,3.6397747910736316,12,4
102,pair_mean__ret_12_1__z_score,pair_product__ret_1_0__ret_12_1,0.6474891522116556,0.6088277301810844,0.04241373368319186,20,3.6088787273699987,12,4
103,pair_product__ret_1_0__ret_6_1,pair_difference__ret_1_0__gp_at,0.6768588758229143,0.5513114729390122,0.08813897769665978,20,3.632153125349064,12,4
104,pair_product__ret_1_0__ret_3_1,pair_product__ret_3_1__gp_at,0.5005230854498961,0.4506001529395977,0.05045215929287654,20,3.6573082733591584,12,4
105,pair_product__ret_1_0__z_score,pair_difference__ret_1_0__niq_su,0.6808333333333333,0.5603928720161346,0.12658914553911604,20,3.6820045291761945,12,4
106,pair_difference__ret_12_1__turnover_126d,identity__ret_12_1,0.7629871010570795,0.5805315525568995,0.10758909643397571,20,3.752280160011262,12,4
107,pair_product__ret_1_0__ret_3_1,pair_difference__ret_3_1__ret_12_1,0.8308349100984952,0.6481647927112889,0.11274665550869963,20,3.786500364332169,12,4
108,identity__ret_12_1,pair_mean__ret_6_1__ret_12_1,0.6460777176890625,0.6013414826261262,0.02814510420614814,20,3.208847581605012,12,4
109,pair_product__ret_6_1__gp_at,pair_product__be_me__gp_at,0.7187042717677846,0.6249267550010981,0.06021537788875165,20,3.8744247444992856,12,4
110,pair_product__gp_at__turnover_126d,pair_product__ret_1_0__turnover_126d,0.6716666666666666,0.5586985413356065,0.0732569000412178,20,3.873421984308744,12,4
111,pair_difference__rvol_21d__beta_60m,pair_product__ret_12_1__beta_60m,0.6819403961919102,0.6198064776276939,0.05566302386507395,20,3.8644747233931853,12,4
112,pair_difference__ret_6_1__z_score,pair_product__ret_6_1__z_score,0.6917933971895007,0.6237604343356655,0.05693055517230958,20,3.8095691987141804,12,4
