formation_month,reward_cutoff,maintenance_start,maintenance_end,maintenance_months,market_regime,selected_candidates,selected_miners,selected_factor_count,finite_scores
2017-12-31,2017-06-30,2012-07-31,2017-06-30,60,uptrend,risk_reversal_miner__identity__beta_60m|fundamental_miner__pair_mean__f_score__gp_at|fundamental_miner__identity__be_me|fundamental_miner__identity__f_score|technical_miner__pair_mean__ret_6_1__turnover_126d,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2018-01-31,2017-07-31,2012-08-31,2017-07-31,60,uptrend,fundamental_miner__identity__be_me|risk_reversal_miner__pair_mean__beta_60m__ret_1_0|fundamental_miner__pair_mean__gp_at__ocf_at|fundamental_miner__pair_mean__f_score__gp_at|fundamental_miner__pair_mean__be_me__ocf_at,fundamental_miner|risk_reversal_miner,5,1000
2018-02-28,2017-08-31,2012-09-30,2017-08-31,60,uptrend,fundamental_miner__identity__be_me|risk_reversal_miner__identity__beta_60m|fundamental_miner__pair_mean__gp_at__ocf_at|fundamental_miner__pair_mean__f_score__gp_at|fundamental_miner__pair_mean__be_me__ocf_at,fundamental_miner|risk_reversal_miner,5,1000
2018-03-31,2017-09-30,2012-10-31,2017-09-30,60,uptrend,fundamental_miner__identity__be_me|risk_reversal_miner__pair_mean__beta_60m__ret_1_0|fundamental_miner__pair_mean__gp_at__ocf_at|fundamental_miner__pair_mean__f_score__gp_at|technical_miner__pair_mean__prc_highprc_252d__ret_12_1,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2018-04-30,2017-10-31,2012-11-30,2017-10-31,60,uptrend,fundamental_miner__identity__be_me|risk_reversal_miner__pair_mean__beta_60m__ret_1_0|fundamental_miner__pair_mean__gp_at__ocf_at|technical_miner__pair_mean__prc_highprc_252d__ret_12_1|technical_miner__pair_mean__ret_12_1__turnover_126d,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2018-05-31,2017-11-30,2012-12-31,2017-11-30,60,uptrend,technical_miner__pair_mean__ret_12_1__turnover_126d|fundamental_miner__identity__be_me|risk_reversal_miner__identity__beta_60m|fundamental_miner__pair_mean__gp_at__ocf_at|technical_miner__pair_mean__prc_highprc_252d__turnover_126d,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2018-06-30,2017-12-31,2013-01-31,2017-12-31,60,uptrend,technical_miner__pair_mean__ret_12_1__turnover_126d|risk_reversal_miner__identity__beta_60m|technical_miner__identity__ret_12_1|fundamental_miner__identity__be_me|fundamental_miner__pair_mean__gp_at__ocf_at,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2018-07-31,2018-01-31,2013-02-28,2018-01-31,60,uptrend,technical_miner__pair_mean__ret_12_1__turnover_126d|risk_reversal_miner__identity__beta_60m|technical_miner__identity__ret_12_1|fundamental_miner__identity__be_me|technical_miner__identity__turnover_126d,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2018-08-31,2018-02-28,2013-03-31,2018-02-28,60,uptrend,technical_miner__pair_mean__ret_12_1__turnover_126d|fundamental_miner__identity__gp_at|technical_miner__identity__turnover_126d|technical_miner__pair_mean__ret_12_1__ret_6_1|fundamental_miner__pair_mean__be_me__f_score,fundamental_miner|technical_miner,5,1000
2018-09-30,2018-03-31,2013-04-30,2018-03-31,60,uptrend,technical_miner__pair_mean__ret_12_1__turnover_126d|fundamental_miner__identity__gp_at|technical_miner__identity__turnover_126d|technical_miner__pair_mean__ret_12_1__ret_6_1|fundamental_miner__identity__ocf_at,fundamental_miner|technical_miner,5,1000
