formation_month,specialist_count,round_robin_passes,speaking_turns,initial_disagreement_rate,final_disagreement_rate,unanimous_after_debate_rate,mean_absolute_opinion_change,finite_scores,buy_consensus_count,sell_consensus_count
2008-09-30,3,2,6,0.654524089306698,0.27262044653349,0.72737955346651,0.24402867790288646,967,482,485
2008-10-31,3,2,6,0.6528925619834711,0.2715466351829988,0.7284533648170012,0.24626544566699665,969,490,479
2008-11-30,3,2,6,0.7012987012987013,0.3105076741440378,0.6894923258559622,0.2616710999726027,968,498,470
2008-12-31,3,2,6,0.7232037691401649,0.31448763250883394,0.6855123674911661,0.27509403339641175,973,487,486
2009-01-31,3,2,6,0.6985040276179517,0.3187571921749137,0.6812428078250863,0.25846784660379546,972,491,481
2009-02-28,3,2,6,0.66324200913242,0.3059360730593607,0.6940639269406392,0.24977032014165096,973,505,468
2009-03-31,3,2,6,0.7080459770114943,0.3137931034482759,0.6862068965517242,0.2630897208023926,972,480,492
2009-04-30,3,2,6,0.6872852233676976,0.2943871706758305,0.7056128293241696,0.2600738946031434,982,471,511
2009-05-31,3,2,6,0.6746575342465754,0.295662100456621,0.704337899543379,0.2533925998897069,986,485,501
2009-06-30,3,2,6,0.6742596810933941,0.29043280182232345,0.7095671981776766,0.24811788847153934,986,477,509
2009-07-31,3,2,6,0.7010192525481314,0.2853907134767837,0.7146092865232163,0.26447146531664095,991,498,493
2009-08-31,3,2,6,0.7137970353477765,0.2862029646522235,0.7137970353477765,0.2678766653009483,990,489,501
2009-09-30,3,2,6,0.702176403207331,0.27147766323024053,0.7285223367697594,0.2618220287105367,987,482,505
2009-10-31,3,2,6,0.6685649202733486,0.2528473804100228,0.7471526195899773,0.25969657132251955,984,481,503
2009-11-30,3,2,6,0.7255125284738041,0.2938496583143508,0.7061503416856492,0.2652855931346275,984,477,507
2009-12-31,3,2,6,0.7347876004592423,0.3008036739380023,0.6991963260619977,0.27423394915843313,978,480,498
2010-01-31,3,2,6,0.7193585337915235,0.27949599083619703,0.720504009163803,0.2640057113968146,978,478,500
2010-02-28,3,2,6,0.7,0.29310344827586204,0.7068965517241379,0.2533363791587001,976,456,520
2010-03-31,3,2,6,0.7111622554660529,0.31530494821634064,0.6846950517836594,0.2602013180894144,979,484,495
2010-04-30,3,2,6,0.706221198156682,0.28456221198156684,0.7154377880184332,0.2607175940895585,978,467,511
2010-05-31,3,2,6,0.6578645235361653,0.24913892078071181,0.7508610792192881,0.2422784954823625,980,466,514
2010-06-30,3,2,6,0.6828143021914648,0.2618223760092272,0.7381776239907728,0.2551052673785497,976,490,486
2010-07-31,3,2,6,0.7005780346820809,0.2947976878612717,0.7052023121387283,0.25990644644982763,976,479,497
2010-08-31,3,2,6,0.6956521739130435,0.3306636155606407,0.6693363844393593,0.2576542944587135,977,477,500
2010-09-30,3,2,6,0.6849942726231386,0.2852233676975945,0.7147766323024055,0.2598597584022279,976,465,511
2010-10-31,3,2,6,0.6670493685419059,0.2743972445464983,0.7256027554535017,0.24726233343281417,980,469,511
2010-11-30,3,2,6,0.6382488479262672,0.2569124423963134,0.7430875576036866,0.23961778000419806,969,454,515
2010-12-31,3,2,6,0.6727898966704937,0.2663605051664753,0.7336394948335246,0.2563852765565299,972,470,502
2011-01-31,3,2,6,0.6689655172413793,0.2574712643678161,0.7425287356321839,0.24951418672921383,971,471,500
2011-02-28,3,2,6,0.6498277841561424,0.2525832376578645,0.7474167623421355,0.24392295541933803,972,467,505
2011-03-31,3,2,6,0.6497695852534562,0.24193548387096775,0.7580645161290323,0.24512616018312608,964,466,498
2011-04-30,3,2,6,0.643348623853211,0.2603211009174312,0.7396788990825688,0.23831499090942307,969,477,492
2011-05-31,3,2,6,0.6635838150289017,0.27630057803468205,0.7236994219653179,0.24149753299147914,968,470,498
2011-06-30,3,2,6,0.6728754365541327,0.2712456344586729,0.7287543655413271,0.24031053889559137,965,466,499
2011-07-31,3,2,6,0.6461716937354989,0.26102088167053367,0.7389791183294664,0.23739985167132158,972,476,496
2011-08-31,3,2,6,0.6528258362168397,0.2848904267589389,0.7151095732410612,0.239650512059835,977,489,488
2011-09-30,3,2,6,0.6651162790697674,0.2616279069767442,0.7383720930232558,0.24706694804101598,969,467,502
2011-10-31,3,2,6,0.7109826589595376,0.330635838150289,0.669364161849711,0.26787323986101974,967,465,502
2011-11-30,3,2,6,0.6932870370370371,0.29976851851851855,0.7002314814814815,0.25555854020372226,964,472,492
2011-12-31,3,2,6,0.710955710955711,0.29953379953379955,0.7004662004662005,0.26585825901987553,962,474,488
2012-01-31,3,2,6,0.7367205542725174,0.3325635103926097,0.6674364896073903,0.27404767884382003,965,460,505
2012-02-29,3,2,6,0.7006960556844548,0.3248259860788863,0.6751740139211136,0.2578387304555293,969,473,496
2012-03-31,3,2,6,0.6740654205607477,0.30257009345794394,0.697429906542056,0.2510698055613044,961,464,497
2012-04-30,3,2,6,0.6970760233918128,0.28654970760233917,0.7134502923976608,0.25766943538052384,962,478,484
2012-05-31,3,2,6,0.6865497076023391,0.28421052631578947,0.7157894736842105,0.255152373505087,963,475,488
2012-06-30,3,2,6,0.7331786542923434,0.3306264501160093,0.6693735498839907,0.2675075713431384,966,466,500
2012-07-31,3,2,6,0.7424593967517401,0.29930394431554525,0.7006960556844548,0.26516322424280037,968,467,501
2012-08-31,3,2,6,0.6995359628770301,0.28074245939675174,0.7192575406032483,0.26152107846930644,966,466,500
2012-09-30,3,2,6,0.7084785133565621,0.2787456445993031,0.7212543554006968,0.25711644015053026,966,478,488
2012-10-31,3,2,6,0.7563805104408353,0.3248259860788863,0.6751740139211136,0.26729562725164435,966,479,487
2012-11-30,3,2,6,0.7242178447276941,0.2989571263035921,0.7010428736964078,0.2613723998185796,966,488,478
2012-12-31,3,2,6,0.7615740740740741,0.32523148148148145,0.6747685185185185,0.2729609065729988,966,499,467
2013-01-31,3,2,6,0.7245370370370371,0.3449074074074074,0.6550925925925926,0.2640668253744232,964,474,490
2013-02-28,3,2,6,0.7372093023255814,0.3023255813953488,0.6976744186046512,0.2677550121272082,963,483,480
2013-03-31,3,2,6,0.761297798377752,0.31517960602549244,0.6848203939745076,0.2753257698748136,964,476,488
2013-04-30,3,2,6,0.7491248541423571,0.3220536756126021,0.6779463243873979,0.26770484676270223,974,475,499
2013-05-31,3,2,6,0.7043580683156655,0.28975265017667845,0.7102473498233216,0.25837202186855524,968,480,488
2013-06-30,3,2,6,0.7087264150943396,0.27476415094339623,0.7252358490566038,0.25716659870464487,968,482,486
2013-07-31,3,2,6,0.6872037914691943,0.29265402843601895,0.707345971563981,0.2536933939672982,968,488,480
2013-08-31,3,2,6,0.7033997655334114,0.2731535756154748,0.7268464243845252,0.2608685346563419,970,484,486
2013-09-30,3,2,6,0.7335680751173709,0.3051643192488263,0.6948356807511737,0.26147182625228826,968,478,490
2013-10-31,3,2,6,0.7015276145710928,0.2808460634547591,0.7191539365452408,0.25452833503251304,971,476,495
2013-11-30,3,2,6,0.7053990610328639,0.2887323943661972,0.7112676056338029,0.25919081177767256,969,492,477
2013-12-31,3,2,6,0.7227488151658767,0.32701421800947866,0.6729857819905213,0.266085044630197,962,476,486
2014-01-31,3,2,6,0.7266272189349112,0.2958579881656805,0.7041420118343196,0.2588865293363992,955,469,486
2014-02-28,3,2,6,0.7127659574468085,0.2895981087470449,0.710401891252955,0.2552418078045579,956,478,478
2014-03-31,3,2,6,0.7340425531914894,0.32387706855791965,0.6761229314420804,0.2685729131928665,955,476,479
2014-04-30,3,2,6,0.7302709069493521,0.3121319199057715,0.6878680800942285,0.2662252002214196,961,480,481
2014-05-31,3,2,6,0.7286729857819905,0.2950236966824645,0.7049763033175356,0.2614119681633236,955,465,490
2014-06-30,3,2,6,0.7645659928656362,0.3376932223543401,0.6623067776456599,0.2730246928263398,952,475,477
2014-07-31,3,2,6,0.7283511269276394,0.28825622775800713,0.7117437722419929,0.26075426873472923,955,486,469
2014-08-31,3,2,6,0.751486325802616,0.3091557669441142,0.6908442330558858,0.2722602151253036,956,476,480
2014-09-30,3,2,6,0.7228195937873357,0.27718040621266427,0.7228195937873357,0.26357817529158806,954,472,482
2014-10-31,3,2,6,0.7234803337306317,0.2932061978545888,0.7067938021454112,0.26329445751396086,954,481,473
2014-11-30,3,2,6,0.6813317479191439,0.29607609988109396,0.703923900118906,0.2513887188562248,955,474,481
2014-12-31,3,2,6,0.6971153846153846,0.30408653846153844,0.6959134615384616,0.25868597565034207,950,463,487
