display_cell_id,paper_table,cell_role,entity,market,metric,v1_period,v1_value,v2_period,v2_value,status,paper_result_credit
2|RD-Agent|CSI500|MDD_pct,2,result,RD-Agent,CSI500,MDD_pct,2021-01-01 to 2024-12-31,-20.85,2021-01-01 to 2024-12-31,-20.85,unchanged,False
2|RD-Agent|S&P500|AR_pct,2,result,RD-Agent,S&P500,AR_pct,2021-01-01 to 2024-12-31,1.69,2021-01-01 to 2024-12-31,1.69,unchanged,False
2|RD-Agent|S&P500|IC,2,result,RD-Agent,S&P500,IC,2021-01-01 to 2024-12-31,0.0019,2021-01-01 to 2024-12-31,0.0019,unchanged,False
2|RD-Agent|S&P500|ICIR,2,result,RD-Agent,S&P500,ICIR,2021-01-01 to 2024-12-31,0.0123,2021-01-01 to 2024-12-31,0.0123,unchanged,False
2|RD-Agent|S&P500|IR,2,result,RD-Agent,S&P500,IR,2021-01-01 to 2024-12-31,0.1664,2021-01-01 to 2024-12-31,0.1664,unchanged,False
2|RD-Agent|S&P500|MDD_pct,2,result,RD-Agent,S&P500,MDD_pct,2021-01-01 to 2024-12-31,-23.18,2021-01-01 to 2024-12-31,-23.18,unchanged,False
2|Stock-Mixer|CSI500|AR_pct,2,result,Stock-Mixer,CSI500,AR_pct,2021-01-01 to 2024-12-31,-0.35,2021-01-01 to 2024-12-31,-0.35,unchanged,False
2|Stock-Mixer|CSI500|IC,2,result,Stock-Mixer,CSI500,IC,2021-01-01 to 2024-12-31,0.0,2021-01-01 to 2024-12-31,0.0,unchanged,False
2|Stock-Mixer|CSI500|ICIR,2,result,Stock-Mixer,CSI500,ICIR,2021-01-01 to 2024-12-31,0.0003,2021-01-01 to 2024-12-31,0.0003,unchanged,False
2|Stock-Mixer|CSI500|IR,2,result,Stock-Mixer,CSI500,IR,2021-01-01 to 2024-12-31,-0.0496,2021-01-01 to 2024-12-31,-0.0496,unchanged,False
2|Stock-Mixer|CSI500|MDD_pct,2,result,Stock-Mixer,CSI500,MDD_pct,2021-01-01 to 2024-12-31,-16.82,2021-01-01 to 2024-12-31,-16.82,unchanged,False
2|Stock-Mixer|S&P500|AR_pct,2,result,Stock-Mixer,S&P500,AR_pct,2021-01-01 to 2024-12-31,-2.49,2021-01-01 to 2024-12-31,-2.49,unchanged,False
2|Stock-Mixer|S&P500|IC,2,result,Stock-Mixer,S&P500,IC,2021-01-01 to 2024-12-31,0.003,2021-01-01 to 2024-12-31,0.003,unchanged,False
2|Stock-Mixer|S&P500|ICIR,2,result,Stock-Mixer,S&P500,ICIR,2021-01-01 to 2024-12-31,0.0312,2021-01-01 to 2024-12-31,0.0312,unchanged,False
2|Stock-Mixer|S&P500|IR,2,result,Stock-Mixer,S&P500,IR,2021-01-01 to 2024-12-31,-0.3342,2021-01-01 to 2024-12-31,-0.3342,unchanged,False
2|Stock-Mixer|S&P500|MDD_pct,2,result,Stock-Mixer,S&P500,MDD_pct,2021-01-01 to 2024-12-31,-29.43,2021-01-01 to 2024-12-31,-29.43,unchanged,False
2|TRA|CSI500|AR_pct,2,result,TRA,CSI500,AR_pct,2021-01-01 to 2024-12-31,2.91,2021-01-01 to 2024-12-31,2.91,unchanged,False
2|TRA|CSI500|IC,2,result,TRA,CSI500,IC,2021-01-01 to 2024-12-31,0.0198,2021-01-01 to 2024-12-31,0.0198,unchanged,False
2|TRA|CSI500|ICIR,2,result,TRA,CSI500,ICIR,2021-01-01 to 2024-12-31,0.1794,2021-01-01 to 2024-12-31,0.1794,unchanged,False
2|TRA|CSI500|IR,2,result,TRA,CSI500,IR,2021-01-01 to 2024-12-31,0.4261,2021-01-01 to 2024-12-31,0.4261,unchanged,False
2|TRA|CSI500|MDD_pct,2,result,TRA,CSI500,MDD_pct,2021-01-01 to 2024-12-31,-12.73,2021-01-01 to 2024-12-31,-12.73,unchanged,False
2|TRA|S&P500|AR_pct,2,result,TRA,S&P500,AR_pct,2021-01-01 to 2024-12-31,-8.51,2021-01-01 to 2024-12-31,-8.51,unchanged,False
2|TRA|S&P500|IC,2,result,TRA,S&P500,IC,2021-01-01 to 2024-12-31,-0.0003,2021-01-01 to 2024-12-31,-0.0003,unchanged,False
2|TRA|S&P500|ICIR,2,result,TRA,S&P500,ICIR,2021-01-01 to 2024-12-31,-0.0027,2021-01-01 to 2024-12-31,-0.0027,unchanged,False
2|TRA|S&P500|IR,2,result,TRA,S&P500,IR,2021-01-01 to 2024-12-31,-1.1345,2021-01-01 to 2024-12-31,-1.1345,unchanged,False
2|TRA|S&P500|MDD_pct,2,result,TRA,S&P500,MDD_pct,2021-01-01 to 2024-12-31,-49.55,2021-01-01 to 2024-12-31,-49.55,unchanged,False
2|Transformer|CSI500|AR_pct,2,result,Transformer,CSI500,AR_pct,2021-01-01 to 2024-12-31,4.11,2021-01-01 to 2024-12-31,4.11,unchanged,False
2|Transformer|CSI500|IC,2,result,Transformer,CSI500,IC,2021-01-01 to 2024-12-31,0.0131,2021-01-01 to 2024-12-31,0.0131,unchanged,False
2|Transformer|CSI500|ICIR,2,result,Transformer,CSI500,ICIR,2021-01-01 to 2024-12-31,0.1074,2021-01-01 to 2024-12-31,0.1074,unchanged,False
2|Transformer|CSI500|IR,2,result,Transformer,CSI500,IR,2021-01-01 to 2024-12-31,0.5074,2021-01-01 to 2024-12-31,0.5074,unchanged,False
2|Transformer|CSI500|MDD_pct,2,result,Transformer,CSI500,MDD_pct,2021-01-01 to 2024-12-31,-17.45,2021-01-01 to 2024-12-31,-17.45,unchanged,False
2|Transformer|S&P500|AR_pct,2,result,Transformer,S&P500,AR_pct,2021-01-01 to 2024-12-31,-4.55,2021-01-01 to 2024-12-31,-4.55,unchanged,False
2|Transformer|S&P500|IC,2,result,Transformer,S&P500,IC,2021-01-01 to 2024-12-31,0.0013,2021-01-01 to 2024-12-31,0.0013,unchanged,False
2|Transformer|S&P500|ICIR,2,result,Transformer,S&P500,ICIR,2021-01-01 to 2024-12-31,0.0129,2021-01-01 to 2024-12-31,0.0129,unchanged,False
2|Transformer|S&P500|IR,2,result,Transformer,S&P500,IR,2021-01-01 to 2024-12-31,-0.4964,2021-01-01 to 2024-12-31,-0.4964,unchanged,False
2|Transformer|S&P500|MDD_pct,2,result,Transformer,S&P500,MDD_pct,2021-01-01 to 2024-12-31,-34.96,2021-01-01 to 2024-12-31,-34.96,unchanged,False
