block,generation,patch_proposals,rewrite_proposals,parent_improvements,grid_insertions,migrants,island_cells,unique_programs,elite_vault_size,best_validation_fitness,best_terms,best_wrapper
12,9,7,3,5,7,0,70,90,20,0.712204689071092,identity__ret_12_1|pair_mean__gp_at__ocf_at|pair_mean__ret_1_0__prc_highprc_252d|pair_mean__ret_3_1__ret_6_1|pair_mean__ret_6_1__prc_highprc_252d,identity
12,10,6,4,4,9,5,80,98,20,0.712204689071092,identity__ret_12_1|pair_mean__gp_at__ocf_at|pair_mean__ret_1_0__prc_highprc_252d|pair_mean__ret_3_1__ret_6_1|pair_mean__ret_6_1__prc_highprc_252d,identity
12,11,7,3,2,7,0,85,107,20,0.712204689071092,identity__ret_12_1|pair_mean__gp_at__ocf_at|pair_mean__ret_1_0__prc_highprc_252d|pair_mean__ret_3_1__ret_6_1|pair_mean__ret_6_1__prc_highprc_252d,identity
12,12,9,1,2,3,0,88,115,20,0.712204689071092,identity__ret_12_1|pair_mean__gp_at__ocf_at|pair_mean__ret_1_0__prc_highprc_252d|pair_mean__ret_3_1__ret_6_1|pair_mean__ret_6_1__prc_highprc_252d,identity
12,13,6,4,4,8,0,93,124,20,0.712204689071092,identity__ret_12_1|pair_mean__gp_at__ocf_at|pair_mean__ret_1_0__prc_highprc_252d|pair_mean__ret_3_1__ret_6_1|pair_mean__ret_6_1__prc_highprc_252d,identity
12,14,8,2,0,8,0,100,133,20,0.712204689071092,identity__ret_12_1|pair_mean__gp_at__ocf_at|pair_mean__ret_1_0__prc_highprc_252d|pair_mean__ret_3_1__ret_6_1|pair_mean__ret_6_1__prc_highprc_252d,identity
12,15,7,3,2,7,5,107,142,20,0.7451982434642714,identity__ret_12_1|interaction__ret_6_1__turnover_126d|pair_mean__ret_3_1__ret_6_1,quality_confirm
13,1,4,6,4,10,0,15,15,15,0.12936069231129355,identity__ret_12_1|identity__ret_1_0|identity__ret_6_1|identity__rvol_21d,risk_dampen
13,2,7,3,6,9,0,23,24,20,0.5148550843575153,identity__ret_6_1|identity__rvol_21d|interaction__ret_1_0__niq_su|pair_mean__ret_12_1__prc_highprc_252d,quality_confirm
13,3,8,2,4,9,0,32,34,20,0.5148550843575153,identity__ret_6_1|identity__rvol_21d|interaction__ret_1_0__niq_su|pair_mean__ret_12_1__prc_highprc_252d,quality_confirm
13,4,9,1,4,8,0,40,44,20,0.5148550843575153,identity__ret_6_1|identity__rvol_21d|interaction__ret_1_0__niq_su|pair_mean__ret_12_1__prc_highprc_252d,quality_confirm
13,5,8,2,7,10,5,54,54,20,0.5148550843575153,identity__ret_6_1|identity__rvol_21d|interaction__ret_1_0__niq_su|pair_mean__ret_12_1__prc_highprc_252d,quality_confirm
13,6,7,3,4,10,0,64,63,20,0.5148550843575153,identity__ret_6_1|identity__rvol_21d|interaction__ret_1_0__niq_su|pair_mean__ret_12_1__prc_highprc_252d,quality_confirm
13,7,6,4,3,10,0,73,73,20,0.5148550843575153,identity__ret_6_1|identity__rvol_21d|interaction__ret_1_0__niq_su|pair_mean__ret_12_1__prc_highprc_252d,quality_confirm
13,8,8,2,2,6,0,78,80,20,0.5148550843575153,identity__ret_6_1|identity__rvol_21d|interaction__ret_1_0__niq_su|pair_mean__ret_12_1__prc_highprc_252d,quality_confirm
13,9,6,4,3,9,0,86,88,20,0.5148550843575153,identity__ret_6_1|identity__rvol_21d|interaction__ret_1_0__niq_su|pair_mean__ret_12_1__prc_highprc_252d,quality_confirm
13,10,8,2,2,6,5,95,97,20,0.5757282919933822,identity__ocf_at|identity__rvol_21d,identity
13,11,5,5,2,8,0,102,106,20,0.5757282919933822,identity__ocf_at|identity__rvol_21d,identity
13,12,8,2,3,9,0,109,116,20,0.5757282919933822,identity__ocf_at|identity__rvol_21d,identity
13,13,8,2,4,8,0,117,126,20,0.6256965798754981,identity__ocf_at|identity__rvol_21d|pair_mean__be_me__z_score,identity
13,14,4,6,1,9,0,125,136,20,0.6256965798754981,identity__ocf_at|identity__rvol_21d|pair_mean__be_me__z_score,identity
13,15,8,2,2,7,5,132,145,20,0.6961394852058123,identity__ocf_at|identity__rvol_21d|interaction__ret_1_0__niq_su|pair_mean__ret_1_0__ret_3_1,identity
