evaluation,generation,operator,mutation_scope,expression,node_count,training_mean_rankic,training_direction,training_rankic_months,validation_rankic_months,valid_candidate,validation_mean_oriented_rankic,complexity_penalty,training_fitness,survives_final_population,selected_final
98,9,pruning,,"mean(mean(product(ret_6_1,prc_highprc_252d),ret_6_1),difference(prc_highprc_252d,ret_12_1))",9,-0.03959734490020026,-1,96,24,True,0.03647538792346025,0.0008,0.03879734490020026,False,False
99,9,pruning,,"mean(mean(ret_6_1,difference(ret_6_1,rvol_21d)),ret_12_1)",7,0.007387644303964542,1,96,24,True,0.025876006960519015,0.0006000000000000001,0.006787644303964543,False,False
100,9,pruning,,"mean(mean(ret_6_1,difference(ret_6_1,rvol_21d)),difference(prc_highprc_252d,ret_12_1))",9,-0.03731855820494714,-1,96,24,True,0.02470027556757683,0.0008,0.036518558204947135,False,False
101,10,crossover,,"mean(mean(product(ret_12_1,ret_12_1),difference(ret_6_1,rvol_21d)),difference(prc_highprc_252d,ret_12_1))",11,-0.04156169085197381,-1,96,24,True,0.031558829168353196,0.001,0.04056169085197381,False,False
102,10,crossover,,"mean(mean(rvol_21d,ret_6_1),difference(prc_highprc_252d,ret_12_1))",7,-0.024810286057860537,-1,96,24,True,0.0309496564262343,0.0006000000000000001,0.024210286057860537,False,False
103,10,crossover,,"difference(difference(mean(ret_12_1,ret_12_1),prc_highprc_252d),product(product(ret_1_0,prc_highprc_252d),difference(prc_highprc_252d,rvol_21d)))",13,0.03688832568800084,1,96,24,True,0.049016519616030894,0.0012000000000000001,0.035688325688000844,False,False
104,10,crossover,,"mean(mean(product(ret_1_0,prc_highprc_252d),difference(ret_6_1,rvol_21d)),difference(ret_1_0,ret_12_1))",11,-0.04072319387562841,-1,96,24,True,0.050843381814235776,0.001,0.03972319387562841,False,False
105,10,crossover,,"difference(difference(mean(ret_12_1,ret_12_1),prc_highprc_252d),product(product(prc_highprc_252d,prc_highprc_252d),difference(prc_highprc_252d,ret_1_0)))",13,0.027398471962580998,1,96,24,True,0.03458250395218874,0.0012000000000000001,0.026198471962581,False,False
106,10,crossover,,"mean(difference(ret_6_1,rvol_21d),difference(mean(ret_12_1,ret_12_1),ret_12_1))",9,-0.012829001421663308,-1,96,24,True,-0.008664195775912065,0.0008,0.012029001421663308,False,False
107,10,crossover,,"mean(mean(product(difference(prc_highprc_252d,ret_12_1),ret_12_1),difference(ret_6_1,rvol_21d)),difference(prc_highprc_252d,ret_12_1))",13,-0.044184860715423956,-1,96,24,True,0.03894722208124908,0.0012000000000000001,0.042984860715423956,False,False
108,10,crossover,,"difference(difference(mean(ret_12_1,rvol_21d),prc_highprc_252d),product(difference(prc_highprc_252d,ret_12_1),difference(ret_6_1,ret_1_0)))",13,0.024618823962805472,1,96,24,True,0.024029008076135575,0.0012000000000000001,0.023418823962805473,False,False
109,10,crossover,,"mean(difference(ret_6_1,rvol_21d),difference(prc_highprc_252d,prc_highprc_252d))",7,-0.013380870821955,-1,96,24,True,-0.009843367873349022,0.0006000000000000001,0.012780870821955,False,False
110,10,crossover,,"difference(mean(mean(ret_6_1,difference(ret_6_1,rvol_21d)),difference(ret_1_0,ret_12_1)),product(product(ret_1_0,prc_highprc_252d),difference(ret_6_1,ret_1_0)))",17,-0.026637393751482007,-1,96,24,True,0.022816466805944857,0.0016,0.025037393751482007,False,False
111,11,mutation,fine,"mean(mean(product(ret_6_1,prc_highprc_252d),difference(ret_6_1,ret_1_0)),difference(prc_highprc_252d,ret_12_1))",11,-0.03440269151134948,-1,96,24,True,0.024910070806765643,0.001,0.03340269151134948,False,False
112,11,mutation,fine,"mean(mean(product(difference(prc_highprc_252d,ret_12_1),ret_12_1),difference(ret_6_1,rvol_21d)),difference(rvol_21d,ret_12_1))",13,-0.03147191292320335,-1,96,24,True,0.043317820541981376,0.0012000000000000001,0.030271912923203352,False,False
113,11,mutation,fine,"mean(mean(ret_6_1,difference(prc_highprc_252d,rvol_21d)),difference(ret_1_0,ret_12_1))",9,-0.03752694455612684,-1,96,24,True,0.04266857037661336,0.0008,0.036726944556126837,False,False
114,11,mutation,root,rvol_21d,1,0.011072046159810223,1,96,24,True,0.0040826438389707275,0.0,0.011072046159810223,False,False
115,11,mutation,internal,"mean(mean(turnover_126d,difference(ret_6_1,rvol_21d)),difference(prc_highprc_252d,ret_12_1))",9,-0.03528847071255181,-1,96,24,True,0.034770955605842445,0.0008,0.03448847071255181,False,False
116,11,mutation,root,"difference(mean(ret_12_1,difference(ret_6_1,ret_12_1)),ret_1_0)",7,0.010450294058736863,1,96,24,True,0.027961546153912956,0.0006000000000000001,0.009850294058736863,False,False
117,11,mutation,root,"difference(mean(product(rvol_21d,turnover_126d),difference(turnover_126d,ret_12_1)),difference(difference(ret_12_1,rvol_21d),mean(turnover_126d,ret_1_0)))",15,-0.018717126364137252,-1,96,24,True,0.044054250418073475,0.0014,0.017317126364137254,False,False
118,11,mutation,root,"mean(mean(prc_highprc_252d,prc_highprc_252d),rvol_21d)",5,0.005243179093177462,1,96,24,True,-0.0006861937955023554,0.0004,0.004843179093177462,False,False
119,11,mutation,root,"product(product(ret_6_1,product(turnover_126d,rvol_21d)),mean(product(prc_highprc_252d,ret_1_0),ret_1_0))",11,-0.004711588797229218,-1,96,24,True,-0.0013411660044462675,0.001,0.0037115887972292176,False,False
120,11,mutation,internal,"mean(mean(product(product(prc_highprc_252d,prc_highprc_252d),mean(turnover_126d,prc_highprc_252d)),difference(ret_6_1,rvol_21d)),difference(prc_highprc_252d,ret_12_1))",15,-0.040654304122890235,-1,96,24,True,0.03400580883826883,0.0014,0.039254304122890236,False,False
121,12,pruning,,"difference(prc_highprc_252d,ret_12_1)",3,-0.03676027022474644,-1,96,24,True,0.05245727221142141,0.0002,0.03656027022474644,False,False
122,12,pruning,,"difference(prc_highprc_252d,ret_12_1)",3,-0.03676027022474644,-1,96,24,True,0.05245727221142141,0.0002,0.03656027022474644,False,False
123,12,pruning,,"mean(mean(product(ret_1_0,prc_highprc_252d),rvol_21d),difference(ret_1_0,ret_12_1))",9,-0.027609957458052028,-1,96,24,True,0.048073167781854775,0.0008,0.02680995745805203,False,False
124,12,pruning,,"mean(mean(product(ret_6_1,ret_12_1),rvol_21d),difference(prc_highprc_252d,ret_12_1))",9,-0.026163497997820282,-1,96,24,True,0.04102313233247154,0.0008,0.025363497997820283,False,False
125,12,pruning,,"mean(mean(ret_1_0,difference(ret_6_1,rvol_21d)),difference(ret_1_0,ret_12_1))",9,-0.03531289962244514,-1,96,24,True,0.044270788812454144,0.0008,0.03451289962244514,False,False
126,12,pruning,,"difference(prc_highprc_252d,ret_12_1)",3,-0.03676027022474644,-1,96,24,True,0.05245727221142141,0.0002,0.03656027022474644,False,False
127,12,pruning,,"mean(mean(product(ret_1_0,prc_highprc_252d),difference(ret_6_1,rvol_21d)),ret_12_1)",9,0.014246072329129755,1,96,24,True,0.029525420681478346,0.0008,0.013446072329129755,False,False
128,12,pruning,,"mean(mean(ret_6_1,difference(ret_6_1,rvol_21d)),ret_1_0)",7,-0.020401424384356683,-1,96,24,True,0.01180517444654267,0.0006000000000000001,0.019801424384356683,False,False
129,12,pruning,,"mean(mean(product(difference(prc_highprc_252d,ret_12_1),ret_12_1),ret_6_1),difference(prc_highprc_252d,ret_12_1))",11,-0.03716513616064474,-1,96,24,True,0.03979642905802489,0.001,0.03616513616064474,False,False
130,12,pruning,,"mean(mean(product(product(prc_highprc_252d,prc_highprc_252d),prc_highprc_252d),difference(ret_6_1,rvol_21d)),difference(prc_highprc_252d,ret_12_1))",13,-0.03682997135769688,-1,96,24,True,0.02860144536232767,0.0012000000000000001,0.03562997135769688,False,False
131,13,crossover,,prc_highprc_252d,1,-0.0024503769136369515,-1,96,24,True,-0.002970975119821232,0.0,0.0024503769136369515,False,False
132,13,crossover,,"mean(mean(product(prc_highprc_252d,prc_highprc_252d),difference(ret_6_1,rvol_21d)),difference(prc_highprc_252d,ret_12_1))",11,-0.04544982564186589,-1,96,24,True,0.040066963361591365,0.001,0.04444982564186589,True,False
133,13,crossover,,"mean(mean(product(difference(prc_highprc_252d,ret_12_1),ret_12_1),difference(product(ret_12_1,ret_12_1),rvol_21d)),difference(prc_highprc_252d,ret_12_1))",15,-0.040761715674624895,-1,96,24,True,0.041966199603702424,0.0014,0.039361715674624896,False,False
