formation_month,procedural_start,procedural_end,procedural_months,cvar_coverage,cvar_alerts,finite_scores,analyst_rankic__market,belief_weight__market,analyst_rankic__fundamental,belief_weight__fundamental,analyst_rankic__attention,belief_weight__attention,analyst_rankic__risk,belief_weight__risk
2015-08-31,2010-08-31,2015-07-31,60,858,140,786,0.01609717213249673,0.2525374832713514,0.0087011138318065,0.2518752112520723,-0.01004501565821895,0.24651430977396002,0.0002882131898228472,0.24907299570261648
2015-09-30,2010-09-30,2015-08-31,60,848,100,778,0.02399669105657141,0.2531106008305304,0.006355048896850779,0.2514998478234776,-0.016148927915773964,0.24608630174509505,0.004837180087078943,0.24930324960089706
2015-10-31,2010-10-31,2015-09-30,60,853,23,782,0.02057034021758775,0.2534157566155588,0.005737175629182137,0.2512715180092957,-0.01761784304417977,0.24576519846794564,0.0045146161568652724,0.24954752690719995
2015-11-30,2010-11-30,2015-10-31,60,845,37,775,0.02165473456522277,0.25378619326859697,0.0020076778559280353,0.2509382367585858,-0.020258533632015567,0.24543257693404574,0.005167454097725618,0.2498429930387716
2015-12-31,2010-12-31,2015-11-30,60,841,77,768,0.030833263128322207,0.2544623859960339,0.005201803745669562,0.2507037437796339,-0.024898818370183262,0.24472124008408122,0.008880132894429772,0.2501126301402511
2016-01-31,2011-01-31,2015-12-31,60,847,230,777,0.03637031448501374,0.2551545353829512,0.009912907527091471,0.250656447856698,-0.02841187402105454,0.24381475327773644,0.01248272032069347,0.2503742634826145
2016-02-29,2011-02-28,2016-01-31,60,846,43,777,0.0325072869990417,0.25545374567184725,0.012091919435524404,0.2507850682065821,-0.029944930856274397,0.2430688996966718,0.013982968736515992,0.25069228642489894
2016-03-31,2011-03-31,2016-02-29,60,852,1,781,0.026501009813832774,0.25543898784227326,0.010274579056553127,0.2509098038854108,-0.029266530900373764,0.2426871346821869,0.01224420864510096,0.2509640735901291
2016-04-30,2011-04-30,2016-03-31,60,853,28,779,0.021466413559737708,0.2553263650555469,0.0033874121965540302,0.2507873481271768,-0.025574218979707544,0.2428332075843692,0.006975390576781695,0.2510530792329072
2016-05-31,2011-05-31,2016-04-30,60,848,23,772,0.02312635731116486,0.25534223738786094,0.0007653846140682118,0.250526127270178,-0.02493551168101128,0.24297631552915236,0.00762718884357829,0.25115531981280864
2016-06-30,2011-06-30,2016-05-31,60,845,41,773,0.027601318591250947,0.25560632335980027,0.0019453824818805368,0.2503706211652645,-0.02793610032876044,0.24286900282680324,0.006919497018349014,0.2511540526481319
2016-07-31,2011-07-31,2016-06-30,60,849,5,777,0.02136256951587493,0.2555098943520213,0.0036047077414340495,0.25046007556461986,-0.028361570201168633,0.2428618351685145,0.005525989182096819,0.25116819491484427
2016-08-31,2011-08-31,2016-07-31,60,844,37,771,0.01429960014601394,0.2550949884161127,0.0012269910684443203,0.2504834020928988,-0.021641992436310143,0.24336850198333299,0.0018432909334019957,0.2510531075076556
2016-09-30,2011-09-30,2016-08-31,60,845,22,768,0.009798869296960935,0.2546510883919875,-0.0008528962414278671,0.2505214039502563,-0.017471415570855197,0.2441525361970906,-0.005230747280631652,0.25067497146066564
2016-10-31,2011-10-31,2016-09-30,60,842,87,768,0.01619230753985923,0.25464045427754295,-0.001633153853955473,0.2504186150376078,-0.021940879926144085,0.24438497808376602,-0.0012787820636040966,0.2505559526010832
2016-11-30,2011-11-30,2016-10-31,60,844,39,767,0.0116987884228763,0.25442347868391474,-0.004901493159781704,0.25021261862084754,-0.01726237537457472,0.2449208358602325,-0.0028611436559225333,0.25044306683500517
2016-12-31,2011-12-31,2016-11-30,60,841,13,762,0.009019382572074623,0.2540957077465535,-0.004711887840153154,0.25007461227608335,-0.015288660170818813,0.24544910324856029,-0.0025812109231525744,0.2503805767288029
2017-01-31,2012-01-31,2016-12-31,60,838,23,763,0.014059605352710669,0.2541182101914555,-0.004401429521359868,0.24994001803343177,-0.018916110712433397,0.24557194126963183,-0.0011951915748179287,0.25036983050548106
2017-02-28,2012-02-29,2017-01-31,60,836,15,761,0.015764022451070534,0.2542523059735676,-0.005098887947141055,0.2498042121644255,-0.023825900400416686,0.24537140540629698,0.00202102459132814,0.25057207645571
2017-03-31,2012-03-31,2017-02-28,60,832,14,756,0.011564658475894043,0.254105236786637,-0.0015877444611843991,0.2499405546120763,-0.023213215654093188,0.2452769975401831,0.0009775025056249081,0.2506772110611037
2017-04-30,2012-04-30,2017-03-31,60,831,15,755,0.008664567150130077,0.253714965396817,0.0025649527449874703,0.2502075203933333,-0.020987272553097566,0.24524916957589876,0.00365327842783898,0.250828344633951
2017-05-31,2012-05-31,2017-04-30,60,830,32,753,0.004961466732669497,0.25314224505696364,0.0053398302104180635,0.250535448226825,-0.017809762612908238,0.2453777626575433,0.004440530903633115,0.2509445440586682
2017-06-30,2012-06-30,2017-05-31,60,832,26,752,0.002381250376035082,0.252641689257619,0.003108007535991078,0.25073223767205755,-0.019032311252994497,0.2454881694120359,0.004679954372380197,0.2511379036582877
2017-07-31,2012-07-31,2017-06-30,60,832,25,754,0.003942656251353701,0.2523908501089033,0.0011603782663642602,0.25078397273954817,-0.019484840999592332,0.24556902599513317,0.003833608842831268,0.2512561511564153
2017-08-31,2012-08-31,2017-07-31,60,830,56,752,0.011006931423599476,0.25254020526012233,0.001842806928994099,0.250758090918513,-0.02331605898917675,0.24528984074202004,0.006612613480927913,0.25141186307934477
2017-09-30,2012-09-30,2017-08-31,60,836,11,753,0.00872636110368023,0.25253964879220925,0.0003242121667738673,0.25067481990363233,-0.023363827707628886,0.24510803992013563,0.008474473837821782,0.25167749138402284
2017-10-31,2012-10-31,2017-09-30,60,838,29,754,0.013604037120962004,0.2526623940563093,0.0022864719971549385,0.25055188574233556,-0.02304843742241036,0.244812113611375,0.012937185488852957,0.25197360658998014
2017-11-30,2012-11-30,2017-10-31,60,842,15,757,0.013122526513161058,0.25273535883020637,0.0018203330808546378,0.25044176697995874,-0.023460100035003324,0.24457602015349916,0.01356655258622266,0.2522468540363359
2017-12-31,2012-12-31,2017-11-30,60,846,25,761,0.01302522089815149,0.25270893240315145,0.004820925279074042,0.25047269620280294,-0.022590667753550824,0.24437960696376324,0.014547408252271039,0.25243876443028246
2018-01-31,2013-01-31,2017-12-31,60,844,18,761,0.014900851354762297,0.2527368904280263,0.0059067617950351835,0.25049378893024243,-0.024621669149280104,0.24404058811964183,0.017972901535408165,0.2527287325220895
2018-02-28,2013-02-28,2018-01-31,60,841,153,758,0.01353769772844557,0.2526444563374522,0.005984124679072175,0.2504873571546371,-0.02189211190201733,0.24392603466438456,0.01834156817694175,0.2529421518435262
2018-03-31,2013-03-31,2018-02-28,60,845,42,760,0.01289883834967877,0.25245553806599663,0.008545956069277516,0.25056419884438186,-0.022572456251025372,0.24372216842316255,0.02205584412556807,0.25325809466645904
2018-04-30,2013-04-30,2018-03-31,60,839,65,755,0.014551307029075351,0.25239790234208476,0.007654897006528536,0.2505460322310652,-0.021124487836313523,0.2436379481511573,0.021163120491472072,0.25341811727569286
2018-05-31,2013-05-31,2018-04-30,60,834,35,750,0.018743497716601585,0.252507859113142,0.008961043628599116,0.2505036277795995,-0.020542787072092967,0.2435027762543403,0.022103113659856403,0.2534857368529183
2018-06-30,2013-06-30,2018-05-31,60,837,20,751,0.015274407212935682,0.2523658506431187,0.01235192116363203,0.25067887319988597,-0.018728859230196085,0.24350634732017765,0.020810695016617586,0.2534489288368176
2018-07-31,2013-07-31,2018-06-30,60,834,15,746,0.014610278375205458,0.252255218252605,0.01271691487178631,0.2508708523811583,-0.023830358586869084,0.24323550980163094,0.023633988497331997,0.2536384195646057
2018-08-31,2013-08-31,2018-07-31,60,839,19,753,0.02009066177329827,0.2524403513047752,0.012930487340491294,0.250950820938795,-0.02524174547814151,0.24287236150156843,0.024172726886859872,0.25373646625486146
2018-09-30,2013-09-30,2018-08-31,60,840,42,751,0.02053262040935398,0.2526402968229038,0.012657397400719842,0.2510265264905179,-0.02820314431638449,0.2424528210962667,0.024756390511436372,0.25388035559031175
2018-10-31,2013-10-31,2018-09-30,60,845,332,752,0.0203422920892762,0.25285705136125863,0.010617590478237163,0.25103338994041474,-0.03157776648361344,0.24200987874234373,0.025262326628495913,0.254099679955983
2018-11-30,2013-11-30,2018-10-31,60,849,41,757,0.019335315698105763,0.2530251079841188,0.009479400966806368,0.25103573954292524,-0.03413163547783939,0.24158987185243253,0.025504113754715122,0.25434928062052353
2018-12-31,2013-12-31,2018-11-30,60,844,389,753,0.023563530149656838,0.2532788235663972,0.012123881523482403,0.25106440507042876,-0.0370875109096161,0.24096493538537672,0.030153060721675378,0.2546918359777974
2019-01-31,2014-01-31,2018-12-31,60,850,5,757,0.016720880996255034,0.2531774312097591,0.012201978611958254,0.2512315844529521,-0.03679821737904986,0.24064757205956586,0.027830102302623817,0.25494341227772316
2019-02-28,2014-02-28,2019-01-31,60,852,13,761,0.015078043441005672,0.2530830806642172,0.009490022191793495,0.25127151751882615,-0.037933539974022455,0.2404226084375028,0.027894716422360754,0.255222793379454
2019-03-31,2014-03-31,2019-02-28,60,849,25,759,0.020005581189786095,0.25317580348350793,0.010190342987429076,0.25119824557060055,-0.03439587732621689,0.24032546819802034,0.02817706041178579,0.2553004827478713
2019-04-30,2014-04-30,2019-03-31,60,843,12,755,0.020959411399131957,0.2533365288641778,0.006683458404165569,0.25095391991493177,-0.03416393017056271,0.2402956024855587,0.02855655961936426,0.25541394873533185
2019-05-31,2014-05-31,2019-04-30,60,840,236,753,0.026666203174555682,0.25382686029096707,0.0038495407814111452,0.25060013021271726,-0.03958116713015518,0.23995497411157482,0.030311913755993753,0.2556180353847409
2019-06-30,2014-06-30,2019-05-31,60,844,1,757,0.023078587202438876,0.2539662869449529,0.007447380246587542,0.25055988397940665,-0.04345421682215736,0.23946883003217181,0.03395278536697402,0.25600499904346874
2019-07-31,2014-07-31,2019-06-30,60,842,20,755,0.023789731575580612,0.25415844808879884,0.004676213316087473,0.25039798459255797,-0.04223112992419421,0.23921668675385727,0.03222401855832971,0.25622688056478604
2019-08-31,2014-08-31,2019-07-31,60,836,94,749,0.031103593630795408,0.25463337287404797,0.004814066220658334,0.2501520422243475,-0.04516770268929659,0.23872613148507393,0.035837483676262605,0.2564884534165305
2019-09-30,2014-09-30,2019-08-31,60,846,26,759,0.022658773112065947,0.2546779285693084,0.005506645477509834,0.25023360753568497,-0.04660091651812113,0.23848477576627322,0.031013489848119923,0.2566036881287336
2019-10-31,2014-10-31,2019-09-30,60,851,27,762,0.021087352505588946,0.2546150831718742,0.005921378187809827,0.2503244639162906,-0.0439846380858205,0.2384630008213434,0.02951078670441042,0.2565974520904919
2019-11-30,2014-11-30,2019-10-31,60,851,15,764,0.014603404649130538,0.25431570681564347,0.0035691101523968086,0.2504025140590471,-0.04173905924314866,0.2387307985216631,0.026348605370930835,0.2565509806036464
2019-12-31,2014-12-31,2019-11-30,60,848,9,763,0.010598436722957195,0.2539300531554969,0.0035798349230332033,0.25055318300775986,-0.041017275117950606,0.2390623555193695,0.023926782940329596,0.25645440831737387
2020-01-31,2015-01-31,2019-12-31,60,843,53,760,0.010519837470768963,0.2537277408059287,0.0005924167873659986,0.25056998697469074,-0.04482394795830568,0.2391699499215237,0.024818391979193624,0.25653232229785694
2020-02-29,2015-02-28,2020-01-31,60,839,328,758,0.016369214849768342,0.25372537681882795,0.002547395188247382,0.2504863804103848,-0.04169953089805818,0.2392286593268133,0.027824328821171963,0.256559583443974
2020-03-31,2015-03-31,2020-02-29,60,809,530,736,0.01678806938155152,0.25358291883394596,0.005761721467665589,0.2504596594896694,-0.04238197245875337,0.23907421162669723,0.03517784946276278,0.25688321004968745
2020-04-30,2015-04-30,2020-03-31,60,821,5,745,0.02105510009712282,0.2536430011220542,0.005546355056213209,0.2503240285395869,-0.03963190944543836,0.23902505002003652,0.03497851065926932,0.2570079203183224
2020-05-31,2015-05-31,2020-04-30,60,810,5,743,0.017838855258512254,0.2534500978145764,0.0067835184079735045,0.25026582284477156,-0.035041377875456095,0.239230511014093,0.034774947504896285,0.25705356832655907
2020-06-30,2015-06-30,2020-05-31,60,810,29,745,0.01097178246136521,0.25297508759406767,0.008107726738508177,0.25040702570294343,-0.031189008820361432,0.23971412514856347,0.03028042109354606,0.25690376155442546
2020-07-31,2015-07-31,2020-06-30,60,806,9,741,0.011013061358841532,0.25259377067127387,0.00877018987775113,0.25052688984121574,-0.030613427754672625,0.2400850205568871,0.03076568233250056,0.2567943189306233
2020-08-31,2015-08-31,2020-07-31,60,803,15,739,0.009866721890374583,0.2522703927965424,0.00728613629182501,0.25055831572604853,-0.028044313098706797,0.24055164937218793,0.02876910369287818,0.2566196421052211
2020-09-30,2015-09-30,2020-08-31,60,796,33,735,0.0068792255004115465,0.2519075169171469,0.005412765560477098,0.25053157254140584,-0.024685238534213946,0.2411701291555036,0.026169408115649943,0.2563907813859436
2020-10-31,2015-10-31,2020-09-30,60,811,32,742,0.007627726021356798,0.25169398368318907,0.003948312743525506,0.250431517439847,-0.024382513243500544,0.24166368816834274,0.025853189723680607,0.25621081070862134
2020-11-30,2015-11-30,2020-10-31,60,811,1,748,0.002166075690323078,0.2513470833056351,0.0034971445194441207,0.2504835828383537,-0.022031352376822244,0.24232834190993605,0.01969056871783923,0.25584099194607524
2020-12-31,2015-12-31,2020-11-30,60,804,3,739,-0.003604979645452798,0.25082360862924147,0.0005032362953813411,0.250432506320587,-0.015074563822865365,0.2433489280610707,0.015483904073667006,0.2553949569891009
2021-01-31,2016-01-31,2020-12-31,60,794,31,727,-0.007960505108400785,0.2502716174924098,-0.002535622704568254,0.250316384649781,-0.009713466577944658,0.24455674909487166,0.010453739319727675,0.25485524876293764
2021-02-28,2016-02-29,2021-01-31,60,804,22,737,-0.006732088098949163,0.25004758181602227,-0.007588575205550577,0.25002778332461034,-0.009134641238029326,0.24561182584897553,0.006453812253168719,0.2543128090103919
2021-03-31,2016-03-31,2021-02-28,60,816,15,744,-0.006496532183811584,0.2498007422661293,-0.0014183665342959386,0.25010288986469403,-0.014621903287312476,0.24597004847015116,0.011436237262978691,0.2541263193990255
2021-04-30,2016-04-30,2021-03-31,60,818,2,744,-9.60461864144622e-05,0.2498355924607586,0.0039003189726816135,0.2503124158171255,-0.020355105153001443,0.24570942078366553,0.016769726131465493,0.25414257093845044
2021-05-31,2016-05-31,2021-04-30,60,825,13,749,0.002307927636863512,0.24996732601829885,0.006707971964328683,0.25060095186856574,-0.021299353751330023,0.2454124071640539,0.015351531411033646,0.25401931494908153
2021-06-30,2016-06-30,2021-05-31,60,815,6,743,-0.010171513710221576,0.24944319479788296,0.004469618663977532,0.2508323658053182,-0.016269818910179975,0.24565025763811188,0.015194751797521,0.254074181758687
2021-07-31,2016-07-31,2021-06-30,60,814,7,744,-0.005507580771002889,0.24915738759099235,0.007829012419929152,0.25103267985435096,-0.020652444572264245,0.24537965060074277,0.02307172560368229,0.254430281953914
2021-08-31,2016-08-31,2021-07-31,60,819,18,749,-5.261707575013319e-05,0.24919982313092362,0.009146034855911239,0.25118230591197876,-0.021715554104270254,0.24503075148659093,0.022671102151522113,0.2545871194705068
2021-09-30,2016-09-30,2021-08-31,60,821,60,748,-0.0022017006749917257,0.24917440207887234,0.00759609536605506,0.25127441621884505,-0.022592768399841364,0.24479061327799198,0.022315915672340023,0.25476056842429073
2021-10-31,2016-10-31,2021-09-30,60,814,9,743,0.0012188890287097793,0.24925938618564705,0.007814501461849586,0.2512471815466693,-0.019737455201288955,0.24467791966050015,0.022888970894235233,0.2548155126071836
2021-11-30,2016-11-30,2021-10-31,60,817,61,747,0.005330406806605681,0.2493937493542969,0.01537407907667081,0.2515149756356875,-0.02395996399719201,0.2441550177029629,0.027115879007510193,0.2549362573070528
2021-12-31,2016-12-31,2021-11-30,60,823,10,749,0.0026302245422751506,0.24931493589356782,0.018893887421521482,0.25192686797014413,-0.025467059837377164,0.243660630833376,0.028403434003258936,0.25509756530291217
2022-01-31,2017-01-31,2021-12-31,60,844,161,767,0.004162509568117269,0.24938716276929082,0.018036845370785416,0.2522179175899409,-0.027778619866502617,0.2431847724264557,0.027697314985379293,0.2552101472143127
2022-02-28,2017-02-28,2022-01-31,60,843,34,765,0.00551670602982707,0.24951174820516742,0.01673721478653574,0.2523397222607696,-0.022819678219266278,0.2431145880160405,0.0238356319300468,0.25503394151802256
2022-03-31,2017-03-31,2022-02-28,60,845,21,769,0.009728895825864775,0.24989142650583046,0.013391231974215743,0.25224266791980954,-0.023938264391274333,0.2430158570395478,0.02266286489115958,0.2548500485348123
2022-04-30,2017-04-30,2022-03-31,60,856,148,780,0.013494803439795255,0.2504459827862869,0.013170299373561728,0.2521889645131241,-0.028240613621250153,0.24271296657080568,0.021194055419233287,0.2546520861297834
2022-05-31,2017-05-31,2022-04-30,60,852,45,776,0.01369602467789568,0.2509309740135517,0.012369638862004729,0.25215457550166365,-0.02906613198157497,0.2424899455874729,0.019053631952984516,0.25442450489731183
2022-06-30,2017-06-30,2022-05-31,60,855,167,781,0.018981282915716356,0.2515486926942727,0.012804888790710853,0.2520763222457979,-0.03342058763026607,0.24198371786108752,0.022486178873800913,0.2543912671988419
2022-07-31,2017-07-31,2022-06-30,60,853,4,778,0.010647201435566495,0.2515338316477789,0.014589823738259943,0.2521779248863778,-0.03017144697781612,0.24184541000052162,0.022930955758711357,0.2544428334653217
2022-08-31,2017-08-31,2022-07-31,60,854,45,780,0.010525301637016916,0.25161901877351567,0.011667997506580987,0.25217408383950024,-0.029778001374876146,0.24186531971913375,0.019077151125035184,0.25434157766785037
2022-09-30,2017-09-30,2022-08-31,60,857,160,780,0.017585969652350937,0.2519614783335182,0.012262242204438577,0.2520419608926936,-0.031049172583627705,0.24164377047395222,0.02309500707549047,0.25435279029983604
2022-10-31,2017-10-31,2022-09-30,60,857,11,777,0.014724109936733249,0.25205257529359104,0.014671187787067452,0.25210959889449536,-0.02954674387081695,0.24158253874456453,0.021190448539041465,0.2542552870673491
2022-11-30,2017-11-30,2022-10-31,60,866,11,790,0.01345104331824159,0.2520536529387,0.016717682578626533,0.25230260194581955,-0.031156772206202273,0.24145197149181596,0.021135366175838,0.2541917736236645
2022-12-31,2017-12-31,2022-11-30,60,863,46,787,0.018547968013128937,0.25236113355134127,0.015134035847051593,0.2523320406512173,-0.03705325690998707,0.24098524224642834,0.024167877092574185,0.2543215835510132
2023-01-31,2018-01-31,2022-12-31,60,867,5,794,0.009205423640628357,0.2521712186135925,0.01558679800066631,0.2525520731780256,-0.03322501035137176,0.24102623888655916,0.01883946530791235,0.2542504693218228
2023-02-28,2018-02-28,2023-01-31,60,864,26,792,0.008890699231779172,0.2520334419416403,0.014922942075349095,0.2526996880672148,-0.03381198169445053,0.24104504031151325,0.0188394471065185,0.2542218296796317
2023-03-31,2018-03-31,2023-02-28,60,868,55,800,0.008188184962666357,0.25183993443395897,0.015962238992009787,0.25282984815393805,-0.034529285533436725,0.24097184586874432,0.022055581815790155,0.2543583715433587
2023-04-30,2018-04-30,2023-03-31,60,875,18,809,0.009451513000257645,0.25174967148732313,0.01715625185916338,0.25297837242654786,-0.03823002922867731,0.24067122541359287,0.024640733989327732,0.2546007306725362
2023-05-31,2018-05-31,2023-04-30,60,878,55,814,0.008545900900892823,0.25171364315904576,0.015416041067384628,0.25306879806743693,-0.041518757255534645,0.24033320302740618,0.024825940240163536,0.25488435574611124
2023-06-30,2018-06-30,2023-05-31,60,874,6,810,0.009884903584262807,0.2516982412597855,0.015978860317536654,0.2530991671502389,-0.0394797640575671,0.2401326408694111,0.025555898112173032,0.25506995072056443
2023-07-31,2018-07-31,2023-06-30,60,877,7,810,0.004827680825977852,0.251407269295715,0.01548160444029822,0.2531288244836833,-0.03142065262149894,0.24050336153407514,0.02105227851977603,0.25496054468652674
2023-08-31,2018-08-31,2023-07-31,60,874,50,808,0.0039034225249743957,0.25111656501232654,0.018546921549624215,0.25333058541628045,-0.03475676648991132,0.24056616527008987,0.022983992784297955,0.2549866843013032
2023-09-30,2018-09-30,2023-08-31,60,873,31,808,0.003948730430362753,0.2508137776597944,0.02099634909735759,0.25354849630886295,-0.035912761603025686,0.2404595597179947,0.027076840991844785,0.255178166313348
2023-10-31,2018-10-31,2023-09-30,60,872,54,804,0.005832916151059811,0.25057211315903716,0.02273249049192547,0.25368769950183495,-0.03359775190816753,0.24039146510932174,0.029615650794652847,0.2553487222298062
2023-11-30,2018-11-30,2023-10-31,60,876,6,807,0.006350526112243511,0.2504159429501891,0.022192244547421688,0.25375041433988976,-0.030540158407992915,0.2405172757578253,0.027223081020037412,0.2553163669520959
2023-12-31,2018-12-31,2023-11-30,60,874,2,805,-0.00374138238168145,0.24985339403065498,0.018082308386698182,0.253723103116213,-0.021111848842288092,0.24136101095546356,0.02067983965262566,0.2550624918976685
2024-01-31,2019-01-31,2023-12-31,60,881,14,814,0.009429250030364107,0.24997313174570435,0.020919633438824383,0.2535986644731184,-0.027829339094872906,0.24131499143683188,0.028943520587817802,0.25511321234434536
2024-02-29,2019-02-28,2024-01-31,60,876,17,810,0.013009550437058785,0.2501280236553376,0.025129665889940735,0.25361109638001705,-0.027225652011320576,0.24116379278032873,0.0306351941507211,0.2550970871843166
2024-03-31,2019-03-31,2024-02-29,60,877,5,809,0.00893328638276882,0.25009258871520973,0.023680638362742052,0.2536333817340023,-0.02672113468397314,0.2411803925684175,0.029117339519559363,0.2550936369823705
2024-04-30,2019-04-30,2024-03-31,60,881,81,816,0.010672696434399375,0.25011743707675743,0.02416770106177184,0.253622838505689,-0.026369737052030964,0.24115874737545473,0.030189915546032942,0.25510097704209883
2024-05-31,2019-05-31,2024-04-30,60,876,17,809,0.00560340397653072,0.24981071590207884,0.02582113148730687,0.2537105704074084,-0.02049270657284513,0.24148893370579605,0.028504509070081008,0.2549897799847167
2024-06-30,2019-06-30,2024-05-31,60,877,17,812,0.009966925042789069,0.2497939861289332,0.023765450089794096,0.25358637233063774,-0.020953780367300702,0.24165162781481278,0.03041330778056034,0.2549680137256163
2024-07-31,2019-07-31,2024-06-30,60,874,13,808,0.008591785003400588,0.2497879841760545,0.022874427064427372,0.2535305170000445,-0.02356257996893167,0.24170535321217623,0.029317045194912763,0.25497614561172477
2024-08-31,2019-08-31,2024-07-31,60,877,17,811,0.004559971361664333,0.24963845543612018,0.022438304076108098,0.25356914572016764,-0.023938631714126836,0.24182615088116174,0.02735954883875425,0.2549662479625504
2024-09-30,2019-09-30,2024-08-31,60,876,10,809,0.011042024510572178,0.24971487245184715,0.022759195093453633,0.25339935586894075,-0.017798394812644464,0.24207925966528074,0.028426674207587377,0.25480651201393134
2024-10-31,2019-10-31,2024-09-30,60,873,50,806,0.014227471146541194,0.24996748721116172,0.020950034543299908,0.2531536485615466,-0.019093547690827748,0.24218658569078377,0.028579040596974564,0.2546922785365079
2024-11-30,2019-11-30,2024-10-31,60,864,13,795,0.018812579385146425,0.250344166175017,0.021255887650305776,0.2528875822453701,-0.017519411157908792,0.24226534612737055,0.02854965421316373,0.25450290545224236
