formation_month,procedural_start,procedural_end,procedural_months,cvar_coverage,cvar_alerts,finite_scores,analyst_rankic__market,belief_weight__market,analyst_rankic__fundamental,belief_weight__fundamental,analyst_rankic__attention,belief_weight__attention,analyst_rankic__risk,belief_weight__risk
2011-04-30,2006-04-30,2011-03-31,60,866,2,796,0.0006540748186446528,0.24869368397075117,0.03069808174152119,0.2553883217599705,-0.008164050503570412,0.2462049806489361,0.007745179169632775,0.2497130136203422
2011-05-31,2006-05-31,2011-04-30,60,864,6,795,0.001706510467990538,0.24854319216191217,0.03242985905257957,0.25549929714725395,-0.005336336339962664,0.24624138129801504,0.00827022848289238,0.24971612939281881
2011-06-30,2006-06-30,2011-05-31,60,858,4,789,0.0030872213776397994,0.24846793447784357,0.03280011298851355,0.255556679942062,-0.007594384960079787,0.24608219794827452,0.011839422494141518,0.24989318763182006
2011-07-31,2006-07-31,2011-06-30,60,856,32,784,0.004085823353635973,0.24838613999278641,0.03311486156634207,0.25552991379756007,-0.0015501615132935264,0.2462481916130467,0.010203504424237566,0.2498357545966069
2011-08-31,2006-08-31,2011-07-31,60,851,79,781,0.011687699865038566,0.24865628277359186,0.034067048866897646,0.25542557365049345,-0.0043196565861116035,0.24606244365977273,0.01348522023062063,0.24985569991614198
2011-09-30,2006-09-30,2011-08-31,60,850,135,778,0.018708953707558977,0.2491756100270475,0.03462681066881949,0.25525834715381174,-0.007448470084963092,0.2456118530565661,0.016777022310623935,0.2499541897625747
2011-10-31,2006-10-31,2011-09-30,60,858,6,787,0.013444337684032711,0.24933713609704378,0.034343083165199816,0.2552181634989799,-0.007449305827321514,0.24537293474222932,0.015854268373069465,0.25007176566174705
2011-11-30,2006-11-30,2011-10-31,60,854,9,784,0.019148929124845223,0.24978517375147558,0.03393966875759024,0.2551314425775827,-0.013115589890778854,0.24481871086476376,0.01800985316689283,0.25026467280617803
2011-12-31,2006-12-31,2011-11-30,60,856,12,784,0.018751232312914055,0.2500377172022642,0.03585288833348951,0.2551288939128852,-0.012553697387369564,0.2443804916490422,0.019636912918536097,0.25045289723580855
2012-01-31,2007-01-31,2011-12-31,60,853,2,788,0.01281392296659182,0.24995589699885923,0.03462432784117194,0.2551508077133432,-0.011270978904856262,0.24422737708248332,0.019179196582086975,0.25066591820531436
2012-02-29,2007-02-28,2012-01-31,60,859,3,789,0.010408646614732207,0.24971820425522723,0.03579498752253151,0.25521494979997117,-0.007805260450465278,0.24429823867475411,0.01869353235550483,0.2507686072700475
2012-03-31,2007-03-31,2012-02-29,60,854,2,783,0.01069430658008817,0.24958917456189852,0.03354770222177035,0.2551519059162383,-0.010593307460823521,0.24421198741799766,0.02139050408483546,0.2510469321038655
2012-04-30,2007-04-30,2012-03-31,60,852,10,783,0.01617200357529579,0.24983059133736765,0.031024862921501067,0.2549399474259755,-0.014582371335815957,0.2439006080737667,0.02261594775009683,0.2513288531628903
2012-05-31,2007-05-31,2012-04-30,60,850,53,779,0.022826629913029053,0.25036235083779274,0.030355443708537207,0.25467039312725026,-0.020590055333236993,0.24323858996510447,0.02667097163744828,0.25172866606985256
2012-06-30,2007-06-30,2012-05-31,60,853,5,782,0.02328172077575802,0.2508706781620888,0.028705559812087555,0.2544448780408505,-0.02316522424146616,0.24266412626732056,0.025259242656942047,0.2520203175297402
2012-07-31,2007-07-31,2012-06-30,60,850,16,780,0.02226491611333026,0.2512838076349086,0.02918220710378259,0.25440266550990903,-0.026201338671194525,0.24214214325642652,0.02266632638667987,0.2521713835987559
2012-08-31,2007-08-31,2012-07-31,60,851,10,784,0.017960482017794523,0.251379317462449,0.02969358835127194,0.25446101411380706,-0.022444102353377942,0.24203162746252121,0.019279481366742342,0.2521280409612227
2012-09-30,2007-09-30,2012-08-31,60,856,3,789,0.013992260603707488,0.2512795293621721,0.03085498536795401,0.254657825389975,-0.023093645629617035,0.24198442530127812,0.017764685091823933,0.2520782199465747
2012-10-31,2007-10-31,2012-09-30,60,856,25,787,0.011689039778628013,0.2512060007961627,0.02973758551027584,0.25488248482775533,-0.027632349541487675,0.24181527765877672,0.016319496364331998,0.2520962367173054
2012-11-30,2007-11-30,2012-10-31,60,855,8,788,0.007166377734350949,0.25088385651638795,0.0312758723224159,0.2551658706656885,-0.024475819231723296,0.24189478082806765,0.01520002218892543,0.252055491989856
2012-12-31,2007-12-31,2012-11-30,60,860,2,792,-0.0005451997221083203,0.25034099204442606,0.028798937346189494,0.2554040992248962,-0.021441282514596174,0.24231338741539865,0.010996568887311924,0.25194152131527914
2013-01-31,2008-01-31,2012-12-31,60,863,2,796,0.0032049557705922534,0.2500598398958095,0.02813553786107584,0.25542997162250625,-0.016113877689780707,0.24284704594638057,0.009650896807233944,0.25166314253530375
2013-02-28,2008-02-29,2013-01-31,60,854,8,785,0.0005301206165830556,0.24975609454144965,0.025809749684170994,0.25537641667395816,-0.014478151960347756,0.24341978777588927,0.008361773550387485,0.25144770100870295
2013-03-31,2008-03-31,2013-02-28,60,858,1,789,9.327231111926349e-05,0.2495449873699102,0.025072777271419384,0.25533422853835536,-0.012482756597098478,0.2440150775305625,0.0047749542893394895,0.2511057065611719
2013-04-30,2008-04-30,2013-03-31,60,857,9,787,-0.0002652399178988893,0.24936828062916572,0.02597147631688813,0.25536398548999173,-0.0153369380839551,0.2442902751122956,0.0067610065038552405,0.25097745876854693
2013-05-31,2008-05-31,2013-04-30,60,859,26,784,-0.003817993043746896,0.24910046395487911,0.023771422075747332,0.255333678429514,-0.014403750197606903,0.2446383225707035,0.006123484602083956,0.25092753504490334
2013-06-30,2008-06-30,2013-05-31,60,857,8,781,-0.009772331445308483,0.24873529921133872,0.020787990071126587,0.25533140472569177,-0.01813356503635955,0.24487320765976975,0.005527354742691414,0.2510600884031999
2013-07-31,2008-07-31,2013-06-30,60,859,4,784,-0.0073066807645442355,0.24855601800423338,0.019920873622387487,0.2552145224582971,-0.013218643640840815,0.24529396221832658,0.002896585587052797,0.25093549731914294
2013-08-31,2008-08-31,2013-07-31,60,860,22,786,-0.00418041921466733,0.24856520236852708,0.01877359944092028,0.25500212992525273,-0.011528020433820797,0.24566369392427614,0.002541493815122611,0.25076897378194407
2013-09-30,2008-09-30,2013-08-31,60,853,1,779,-0.004752084933280649,0.24851619396553848,0.019121492700391263,0.25484409112717366,-0.005991585915796558,0.2462631468536144,-0.0014151259018921713,0.25037656805367353
2013-10-31,2008-10-31,2013-09-30,60,857,2,784,-0.008245631984348857,0.2483412740476784,0.021001083561956086,0.25492590877238763,-0.005295777056041649,0.24683451422186695,-0.005638258263637559,0.2498983029580672
2013-11-30,2008-11-30,2013-10-31,60,859,10,784,-0.011568119298827723,0.24802636924931895,0.021364104976227847,0.25503294913366675,-0.0027819677214468925,0.24744141482456292,-0.006640602983225745,0.2494992667924515
2013-12-31,2008-12-31,2013-11-30,60,864,4,787,-0.01024260846627471,0.24787131068483984,0.01910081445820924,0.25496807190072945,-0.00036394033590475756,0.2480466335903456,-0.008013944876294714,0.24911398382408523
2014-01-31,2009-01-31,2013-12-31,60,867,62,790,-0.010936501195860688,0.2477558509474647,0.01594681568822611,0.25476377105408904,0.0036275330861208796,0.2487947548822779,-0.010972598860387732,0.24868562311616846
2014-02-28,2009-02-28,2014-01-31,60,866,7,790,-0.011471989255862607,0.2477091865695046,0.014619041120274805,0.2546012112408361,0.004811792686594583,0.2495044556620391,-0.015055084479922458,0.2481851465276202
2014-03-31,2009-03-31,2014-02-28,60,870,22,794,-0.008447902130584488,0.2478807973339042,0.016068222882751566,0.2545910558359688,-0.002848646288520689,0.249575932094905,-0.013056857976906078,0.24795221473522217
2014-04-30,2009-04-30,2014-03-31,60,880,33,804,-0.001696114246332031,0.24838732242067815,0.01624506839244244,0.25455103821796293,-0.010818043690362612,0.24909135666524843,-0.009257075975397126,0.24797028269611063
2014-05-31,2009-05-31,2014-04-30,60,877,9,803,0.003217559213848101,0.24901587505731015,0.015422066609825221,0.25440888484437363,-0.011979246485566366,0.24859788171911557,-0.008419961781885508,0.2479773583792007
2014-06-30,2009-06-30,2014-05-31,60,876,4,803,-0.0016321630060843098,0.24926852319908865,0.012365593800100277,0.2541943853201163,-0.003064142016861978,0.2488655840883247,-0.014807241508964989,0.2476715073924704
2014-07-31,2009-07-31,2014-06-30,60,879,100,803,0.0009751032686084261,0.2495214334441599,0.015021313694542645,0.25410090340949604,-0.006584525363537565,0.24874800621645077,-0.010178673923827923,0.24762965692989333
