paper_version,paper_table,row_index,row_label,result_position,dataset,metric,paper_value,cited_baseline_recomputed_value,cited_baseline_match_at_paper_precision,native_efs_result_credit,paper_result_credit,version_lineage_status
v1,benchmark,10,EFS-GPT 4.1,6,FF49,CW,565.070,,False,False,False,version_specific_result
v1,benchmark,10,EFS-GPT 4.1,7,FF49,SR,0.222,,False,False,False,version_specific_result
v1,benchmark,10,EFS-GPT 4.1,8,FF49,MDD,0.537,,False,False,False,version_specific_result
v1,benchmark,10,EFS-GPT 4.1,9,FF100,CW,1836.340,,False,False,False,version_specific_result
v1,benchmark,10,EFS-GPT 4.1,10,FF100,SR,0.253,,False,False,False,version_specific_result
v1,benchmark,10,EFS-GPT 4.1,11,FF100,MDD,0.486,,False,False,False,version_specific_result
v1,benchmark,10,EFS-GPT 4.1,12,FF100MEOP,CW,555.490,,False,False,False,version_specific_result
v1,benchmark,10,EFS-GPT 4.1,13,FF100MEOP,SR,0.215,,False,False,False,version_specific_result
v1,benchmark,10,EFS-GPT 4.1,14,FF100MEOP,MDD,0.542,,False,False,False,version_specific_result
v1,benchmark,11,+ Scores to Weights,0,FF25,CW,1408.440,,False,False,False,version_specific_result
v1,benchmark,11,+ Scores to Weights,1,FF25,SR,0.273,,False,False,False,version_specific_result
v1,benchmark,11,+ Scores to Weights,2,FF25,MDD,0.498,,False,False,False,version_specific_result
v1,benchmark,11,+ Scores to Weights,3,FF32,CW,847.350,,False,False,False,version_specific_result
v1,benchmark,11,+ Scores to Weights,4,FF32,SR,0.234,,False,False,False,version_specific_result
v1,benchmark,11,+ Scores to Weights,5,FF32,MDD,0.498,,False,False,False,version_specific_result
v1,benchmark,11,+ Scores to Weights,6,FF49,CW,593.180,,False,False,False,version_specific_result
v1,benchmark,11,+ Scores to Weights,7,FF49,SR,0.200,,False,False,False,version_specific_result
v1,benchmark,11,+ Scores to Weights,8,FF49,MDD,0.609,,False,False,False,version_specific_result
v1,benchmark,11,+ Scores to Weights,9,FF100,CW,2434.510,,False,False,False,version_specific_result
v1,benchmark,11,+ Scores to Weights,10,FF100,SR,0.257,,False,False,False,version_specific_result
v1,benchmark,11,+ Scores to Weights,11,FF100,MDD,0.511,,False,False,False,version_specific_result
v1,benchmark,11,+ Scores to Weights,12,FF100MEOP,CW,461.870,,False,False,False,version_specific_result
v1,benchmark,11,+ Scores to Weights,13,FF100MEOP,SR,0.203,,False,False,False,version_specific_result
v1,benchmark,11,+ Scores to Weights,14,FF100MEOP,MDD,0.617,,False,False,False,version_specific_result
v1,benchmark,12,m=15 | LGBM,0,FF25,CW,312.50,,False,False,False,version_specific_result
v1,benchmark,12,m=15 | LGBM,1,FF25,SR,0.221,,False,False,False,version_specific_result
v1,benchmark,12,m=15 | LGBM,2,FF25,MDD,0.550,,False,False,False,version_specific_result
v1,benchmark,12,m=15 | LGBM,3,FF32,CW,541.42,,False,False,False,version_specific_result
v1,benchmark,12,m=15 | LGBM,4,FF32,SR,0.229,,False,False,False,version_specific_result
v1,benchmark,12,m=15 | LGBM,5,FF32,MDD,0.552,,False,False,False,version_specific_result
v1,benchmark,12,m=15 | LGBM,6,FF49,CW,194.64,,False,False,False,version_specific_result
v1,benchmark,12,m=15 | LGBM,7,FF49,SR,0.196,,False,False,False,version_specific_result
v1,benchmark,12,m=15 | LGBM,8,FF49,MDD,0.593,,False,False,False,version_specific_result
v1,benchmark,12,m=15 | LGBM,9,FF100,CW,223.94,,False,False,False,version_specific_result
v1,benchmark,12,m=15 | LGBM,10,FF100,SR,0.191,,False,False,False,version_specific_result
v1,benchmark,12,m=15 | LGBM,11,FF100,MDD,0.492,,False,False,False,version_specific_result
v1,benchmark,12,m=15 | LGBM,12,FF100MEOP,CW,301.82,,False,False,False,version_specific_result
v1,benchmark,12,m=15 | LGBM,13,FF100MEOP,SR,0.202,,False,False,False,version_specific_result
v1,benchmark,12,m=15 | LGBM,14,FF100MEOP,MDD,0.526,,False,False,False,version_specific_result
v1,benchmark,13,XGB,0,FF25,CW,308.41,,False,False,False,version_specific_result
v1,benchmark,13,XGB,1,FF25,SR,0.223,,False,False,False,version_specific_result
v1,benchmark,13,XGB,2,FF25,MDD,0.527,,False,False,False,version_specific_result
v1,benchmark,13,XGB,3,FF32,CW,491.32,,False,False,False,version_specific_result
v1,benchmark,13,XGB,4,FF32,SR,0.223,,False,False,False,version_specific_result
v1,benchmark,13,XGB,5,FF32,MDD,0.554,,False,False,False,version_specific_result
v1,benchmark,13,XGB,6,FF49,CW,377.05,,False,False,False,version_specific_result
v1,benchmark,13,XGB,7,FF49,SR,0.214,,False,False,False,version_specific_result
v1,benchmark,13,XGB,8,FF49,MDD,0.518,,False,False,False,version_specific_result
v1,benchmark,13,XGB,9,FF100,CW,364.16,,False,False,False,version_specific_result
v1,benchmark,13,XGB,10,FF100,SR,0.201,,False,False,False,version_specific_result
