unique_measurement_id,paper_value,display_occurrences,native_reproduced_value,status,paper_result_credit
regular_single/COIN/FinGPT/MDD_pct,74.967,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/COIN/FinMem/CR_pct,0.811,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/COIN/FinMem/SR,0.017,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/COIN/FinMem/MDD_pct,50.390,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/COIN/FinAgent/CR_pct,-5.971,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/COIN/FinAgent/SR,-0.106,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/COIN/FinAgent/MDD_pct,56.882,1,,not_reproduced_official_code_and_data_not_released,False
"regular_portfolio/P1 (TSLA, MSFT, PFE)/FinCon/CR_pct",113.836,3,,not_reproduced_official_code_and_data_not_released,False
"regular_portfolio/P1 (TSLA, MSFT, PFE)/FinCon/SR",3.269,3,,not_reproduced_official_code_and_data_not_released,False
"regular_portfolio/P1 (TSLA, MSFT, PFE)/FinCon/MDD_pct",16.163,3,,not_reproduced_official_code_and_data_not_released,False
"regular_portfolio/P1 (TSLA, MSFT, PFE)/Markowitz MV/CR_pct",12.636,1,,not_reproduced_official_code_and_data_not_released,False
"regular_portfolio/P1 (TSLA, MSFT, PFE)/Markowitz MV/SR",0.614,1,,not_reproduced_official_code_and_data_not_released,False
"regular_portfolio/P1 (TSLA, MSFT, PFE)/Markowitz MV/MDD_pct",17.842,1,,not_reproduced_official_code_and_data_not_released,False
"regular_portfolio/P1 (TSLA, MSFT, PFE)/FinRL-A2C/CR_pct",19.461,1,,not_reproduced_official_code_and_data_not_released,False
"regular_portfolio/P1 (TSLA, MSFT, PFE)/FinRL-A2C/SR",0.831,1,,not_reproduced_official_code_and_data_not_released,False
"regular_portfolio/P1 (TSLA, MSFT, PFE)/FinRL-A2C/MDD_pct",26.917,1,,not_reproduced_official_code_and_data_not_released,False
"regular_portfolio/P1 (TSLA, MSFT, PFE)/Equal-Weighted ETF/CR_pct",9.344,1,,not_reproduced_official_code_and_data_not_released,False
"regular_portfolio/P1 (TSLA, MSFT, PFE)/Equal-Weighted ETF/SR",0.492,1,,not_reproduced_official_code_and_data_not_released,False
"regular_portfolio/P1 (TSLA, MSFT, PFE)/Equal-Weighted ETF/MDD_pct",21.223,1,,not_reproduced_official_code_and_data_not_released,False
"regular_portfolio/P2 (AMZN, GM, LLY)/FinCon/CR_pct",32.922,1,,not_reproduced_official_code_and_data_not_released,False
"regular_portfolio/P2 (AMZN, GM, LLY)/FinCon/SR",1.371,1,,not_reproduced_official_code_and_data_not_released,False
"regular_portfolio/P2 (AMZN, GM, LLY)/FinCon/MDD_pct",21.502,1,,not_reproduced_official_code_and_data_not_released,False
"regular_portfolio/P2 (AMZN, GM, LLY)/Markowitz MV/CR_pct",10.289,1,,not_reproduced_official_code_and_data_not_released,False
"regular_portfolio/P2 (AMZN, GM, LLY)/Markowitz MV/SR",0.540,1,,not_reproduced_official_code_and_data_not_released,False
"regular_portfolio/P2 (AMZN, GM, LLY)/Markowitz MV/MDD_pct",25.099,1,,not_reproduced_official_code_and_data_not_released,False
"regular_portfolio/P2 (AMZN, GM, LLY)/FinRL-A2C/CR_pct",11.589,1,,not_reproduced_official_code_and_data_not_released,False
"regular_portfolio/P2 (AMZN, GM, LLY)/FinRL-A2C/SR",0.649,1,,not_reproduced_official_code_and_data_not_released,False
"regular_portfolio/P2 (AMZN, GM, LLY)/FinRL-A2C/MDD_pct",15.787,1,,not_reproduced_official_code_and_data_not_released,False
"regular_portfolio/P2 (AMZN, GM, LLY)/Equal-Weighted ETF/CR_pct",15.061,1,,not_reproduced_official_code_and_data_not_released,False
"regular_portfolio/P2 (AMZN, GM, LLY)/Equal-Weighted ETF/SR",0.867,1,,not_reproduced_official_code_and_data_not_released,False
"regular_portfolio/P2 (AMZN, GM, LLY)/Equal-Weighted ETF/MDD_pct",14.662,1,,not_reproduced_official_code_and_data_not_released,False
ablation_cvar/GOOG/without/CR_pct,-1.461,1,,not_reproduced_official_code_and_data_not_released,False
ablation_cvar/GOOG/without/SR,-0.006,1,,not_reproduced_official_code_and_data_not_released,False
ablation_cvar/GOOG/without/MDD_pct,27.079,1,,not_reproduced_official_code_and_data_not_released,False
ablation_cvar/NIO/without/CR_pct,-52.887,1,,not_reproduced_official_code_and_data_not_released,False
ablation_cvar/NIO/without/SR,-1.002,1,,not_reproduced_official_code_and_data_not_released,False
ablation_cvar/NIO/without/MDD_pct,70.243,1,,not_reproduced_official_code_and_data_not_released,False
"ablation_cvar/P1 (TSLA, MSFT, PFE)/without/CR_pct",14.699,1,,not_reproduced_official_code_and_data_not_released,False
"ablation_cvar/P1 (TSLA, MSFT, PFE)/without/SR",1.142,1,,not_reproduced_official_code_and_data_not_released,False
"ablation_cvar/P1 (TSLA, MSFT, PFE)/without/MDD_pct",17.511,1,,not_reproduced_official_code_and_data_not_released,False
ablation_belief/GOOG/without/CR_pct,-11.944,1,,not_reproduced_official_code_and_data_not_released,False
ablation_belief/GOOG/without/SR,-0.496,1,,not_reproduced_official_code_and_data_not_released,False
ablation_belief/GOOG/without/MDD_pct,29.309,1,,not_reproduced_official_code_and_data_not_released,False
ablation_belief/NIO/without/CR_pct,8.197,1,,not_reproduced_official_code_and_data_not_released,False
