ticker,strategy,metric,paper_rendered_value,paper_numeric_value,historical_source_csv_value,status,native_tradinggroup_credit
TSLA,FinAgent,SPR,—,,0.0,paper_dash_or_no_numeric_cell,False
TSLA,SMA Cross,AV,33.389,33.389,38.602,differs_from_paper,False
TSLA,SMA Cross,CR,30.683,30.683,-5.54,differs_from_paper,False
TSLA,SMA Cross,MDD,-22.399,-22.399,-18.517,differs_from_paper,False
TSLA,SMA Cross,SPR,1.237,1.237,-0.293,differs_from_paper,False
TSLA,Turn of The Month,AV,31.043,31.043,31.042,differs_from_paper,False
TSLA,Turn of The Month,CR,3.636,3.636,3.639,differs_from_paper,False
TSLA,Turn of The Month,MDD,-11.643,-11.643,-11.642,differs_from_paper,False
TSLA,Turn of The Month,SPR,0.219,0.219,0.219,matches_paper_at_display_precision,False
TSLA,WMA Cross,AV,32.559,32.559,42.062,differs_from_paper,False
TSLA,WMA Cross,CR,32.924,32.924,3.741,differs_from_paper,False
TSLA,WMA Cross,MDD,-13.476,-13.476,-18.492,differs_from_paper,False
TSLA,WMA Cross,SPR,1.337,1.337,0.215,differs_from_paper,False
TSLA,XGBoost,AV,47.944,47.944,37.729,differs_from_paper,False
TSLA,XGBoost,CR,-14.133,-14.133,6.213,differs_from_paper,False
TSLA,XGBoost,MDD,-43.457,-43.457,-35.374,differs_from_paper,False
TSLA,XGBoost,SPR,-0.262,-0.262,0.331,differs_from_paper,False
