ticker,strategy,metric,paper_rendered_value,paper_numeric_value,fresh_execution_value,fresh_execution_matches_paper,execution_configuration,pinned_default_execution_value,pinned_default_execution_matches_paper,historical_source_csv_value,historical_source_csv_matches_paper,fresh_execution_matches_source_csv_at_3dp,native_tradinggroup_credit
NFLX,XGBoost,SPR,0.734,0.734,0.733836930266,True,historical_two_year_model_window,0.769895215128,False,0.77,False,False,False
TSLA,ARIMA,AV,41.496,41.496,41.4959216964,True,historical_two_year_model_window,41.3993526907,False,41.402,False,False,False
TSLA,ARIMA,CR,10.301,10.301,10.3011607,True,historical_two_year_model_window,15.0115957,False,15.007,False,False,False
TSLA,ARIMA,MDD,-23.524,-23.524,-23.524175916,True,historical_two_year_model_window,-24.4405492849,False,-24.446,False,False,False
TSLA,ARIMA,SPR,0.464,0.464,0.463742442999,True,historical_two_year_model_window,0.601211039165,False,0.601,False,False,False
TSLA,ATR Band,AV,42.161,42.161,42.1606010136,True,pinned_default,42.1606010136,True,42.161,True,True,False
TSLA,ATR Band,CR,-19.142,-19.142,-19.1422879,True,pinned_default,-19.1422879,True,-19.142,True,True,False
TSLA,ATR Band,MDD,-39.599,-39.599,-39.5994118549,True,pinned_default,-39.5994118549,True,-39.599,True,True,False
TSLA,ATR Band,SPR,-0.595,-0.595,-0.594685266825,True,pinned_default,-0.594685266825,True,-0.595,True,True,False
TSLA,Bollinger Bands,AV,45.366,45.366,45.3661250915,True,pinned_default,45.3661250915,True,45.366,True,True,False
TSLA,Bollinger Bands,CR,-24.749,-24.749,-24.7493577,True,pinned_default,-24.7493577,True,-24.747,False,False,False
TSLA,Bollinger Bands,MDD,-44.655,-44.655,-44.6554730417,True,pinned_default,-44.6554730417,True,-44.655,True,True,False
TSLA,Bollinger Bands,SPR,-0.769,-0.769,-0.769044546687,True,pinned_default,-0.769044546687,True,-0.769,True,True,False
TSLA,Buy and Hold,AV,55.908,55.908,55.9082022431,True,pinned_default,55.9082022431,True,55.91,False,False,False
TSLA,Buy and Hold,CR,-20.481,-20.481,-20.4806781,True,pinned_default,-20.4806781,True,-20.483,False,False,False
TSLA,Buy and Hold,MDD,-52.727,-52.727,-52.7269181,True,pinned_default,-52.7269181,True,-52.729,False,False,False
TSLA,Buy and Hold,SPR,-0.342,-0.342,-0.34155969322,True,pinned_default,-0.34155969322,True,-0.342,True,True,False
TSLA,SMA Cross,AV,33.389,33.389,33.389343486,True,pinned_default,33.389343486,True,38.602,False,False,False
TSLA,SMA Cross,CR,30.683,30.683,30.6832773,True,pinned_default,30.6832773,True,-5.54,False,False,False
TSLA,SMA Cross,MDD,-22.399,-22.399,-22.3992156,True,pinned_default,-22.3992156,True,-18.517,False,False,False
TSLA,SMA Cross,SPR,1.237,1.237,1.23734487289,True,pinned_default,1.23734487289,True,-0.293,False,False,False
TSLA,Turn of The Month,AV,31.043,31.043,31.0428162447,True,pinned_default,31.0428162447,True,31.042,False,False,False
TSLA,Turn of The Month,CR,3.636,3.636,3.6361447,True,pinned_default,3.6361447,True,3.639,False,False,False
TSLA,Turn of The Month,MDD,-11.643,-11.643,-11.642570272,True,pinned_default,-11.642570272,True,-11.642,False,False,False
TSLA,Turn of The Month,SPR,0.219,0.219,0.219139427581,True,pinned_default,0.219139427581,True,0.219,True,True,False
TSLA,WMA Cross,AV,32.559,32.559,32.5590970212,True,pinned_default,32.5590970212,True,42.062,False,False,False
TSLA,WMA Cross,CR,32.924,32.924,32.9237597,True,pinned_default,32.9237597,True,3.741,False,False,False
TSLA,WMA Cross,MDD,-13.476,-13.476,-13.4759836244,True,pinned_default,-13.4759836244,True,-18.492,False,False,False
TSLA,WMA Cross,SPR,1.337,1.337,1.33698637736,True,pinned_default,1.33698637736,True,0.215,False,False,False
TSLA,XGBoost,AV,47.944,47.944,47.9440947143,True,historical_two_year_model_window,18.1816505709,False,37.729,False,False,False
TSLA,XGBoost,CR,-14.133,-14.133,-14.1325473,True,historical_two_year_model_window,17.1626848,False,6.213,False,False,False
TSLA,XGBoost,MDD,-43.457,-43.457,-43.4573264,True,historical_two_year_model_window,-9.06805784443,False,-35.374,False,False,False
TSLA,XGBoost,SPR,-0.262,-0.262,-0.262141187379,True,historical_two_year_model_window,1.13088736211,False,0.331,False,False,False
